Unified_Screen_ID,Legacy_Screen_ID,Module,Group,Arabic_Name,English_Name,Application,Priority,Purpose,Tabs_Areas,Key_Fields,Grid_Columns,Actions,Workflow,Permissions,Related_Tables,Benchmark_Refs,P1_W3_Screen_ID,P1_W3_Contract_Status,Disposition,Decision_Required,Notes
U-SCR-011,ORG-003,ORG,التهيئة والتنظيم,نقاط الخدمة والمحطات,Service Points & Stations,ويب الإدارة (Admin Web),P0,تعريف وإدارة نقاط الخدمة والمحطات.,البيانات (General) | الخدمات (Services) | ساعات العمل (Hours) | الصناديق (Cash Points) | التدقيق (Audit),الرمز (Code) | الاسم (Name) | النوع (Type) | الفرع (Branch) | خط العرض (Latitude) | خط الطول (Longitude) | الحالة (Status) | ملاحظات (Notes) | آخر تعديل (Last Modified),الرمز (Code) | الاسم (Name) | الفرع/الشركة (Branch/Company) | الحالة (Status),جديد (New) | حفظ (Save) | تعديل (Edit) | تعطيل/تفعيل (Disable/Enable) | بحث (Search),Draft/Active → Disable with reference checks,ORG-003.View | ORG-003.Manage,ServicePoints,,,,RETAIN_AND_NORMALIZE,NO,السجل القديم محفوظ كما هو.
U-SCR-012,ORG-004,ORG,التهيئة والتنظيم,المحاور ومراكز التجميع,Hubs,ويب الإدارة (Admin Web),P0,تعريف وإدارة المحاور ومراكز التجميع.,البيانات (General) | التحميل (Loading) | المناطق (Zones) | الفرق (Teams) | التدقيق (Audit),رمز المحور (Hub Code) | الاسم (Name) | الفرع (Branch) | السعة (Capacity) | العنوان (Address) | الحالة (Status) | ملاحظات (Notes) | آخر تعديل (Last Modified),الرمز (Code) | الاسم (Name) | الفرع/الشركة (Branch/Company) | الحالة (Status),جديد (New) | حفظ (Save) | تعديل (Edit) | تعطيل/تفعيل (Disable/Enable) | بحث (Search),Draft/Active → Disable with reference checks,ORG-004.View | ORG-004.Manage,Hubs,,,,RETAIN_AND_NORMALIZE,NO,السجل القديم محفوظ كما هو.
U-SCR-013,ORG-005,ORG,التهيئة والتنظيم,مناطق الخدمة,Service Areas,ويب الإدارة (Admin Web),P0,تعريف وإدارة مناطق الخدمة.,التعريف (Definition) | الحدود (Boundaries) | التسعير (Pricing) | القيود (Restrictions),الاسم (Name) | النوع (Type) | النطاق الجغرافي (Geo Boundary) | الخدمة (Service Type) | الحالة (Status) | الحالة (Status) | ملاحظات (Notes) | آخر تعديل (Last Modified),الرمز (Code) | الاسم (Name) | الفرع/الشركة (Branch/Company) | الحالة (Status),جديد (New) | حفظ (Save) | تعديل (Edit) | تعطيل/تفعيل (Disable/Enable) | بحث (Search),Draft/Active → Disable with reference checks,ORG-005.View | ORG-005.Manage,ServiceAreas,,,,RETAIN_AND_NORMALIZE,NO,السجل القديم محفوظ كما هو.
U-SCR-014,ORG-006,ORG,التهيئة والتنظيم,أنواع الخدمات,Service Types,ويب الإدارة (Admin Web),P0,تعريف وإدارة أنواع الخدمات.,التعريف (General) | متطلبات الخدمة (Requirements) | التسعير (Pricing) | الإلغاء (Cancellation) | التدقيق (Audit),الرمز (Code) | الاسم (Name) | الفئة (Category) | نوع المركبة الافتراضي (Default Vehicle Type) | نمط التسعير (Pricing Model) | الحالة (Status) | ملاحظات (Notes) | آخر تعديل (Last Modified),الرمز (Code) | الاسم (Name) | الفرع/الشركة (Branch/Company) | الحالة (Status),جديد (New) | حفظ (Save) | تعديل (Edit) | تعطيل/تفعيل (Disable/Enable) | بحث (Search),Draft/Active → Disable with reference checks,ORG-006.View | ORG-006.Manage,ServiceTypes,,,,RETAIN_AND_NORMALIZE,NO,السجل القديم محفوظ كما هو.
U-SCR-015,ORG-007,ORG,التهيئة والتنظيم,أنواع المركبات والسعات,Vehicle Types & Capacities,ويب الإدارة (Admin Web),P0,تعريف وإدارة أنواع المركبات والسعات.,البيانات (General) | القيود (Constraints) | المزايا (Amenities) | التسعير (Pricing),الرمز (Code) | الاسم (Name) | الحمولة كجم (Weight Capacity) | الحجم م3 (Volume Capacity) | عدد المقاعد (Seats) | الحالة (Status) | ملاحظات (Notes) | آخر تعديل (Last Modified),الرمز (Code) | الاسم (Name) | الفرع/الشركة (Branch/Company) | الحالة (Status),جديد (New) | حفظ (Save) | تعديل (Edit) | تعطيل/تفعيل (Disable/Enable) | بحث (Search),Draft/Active → Disable with reference checks,ORG-007.View | ORG-007.Manage,VehicleTypes,,,,RETAIN_AND_NORMALIZE,NO,السجل القديم محفوظ كما هو.
U-SCR-016,ORG-008,ORG,التهيئة والتنظيم,إعدادات التشغيل,Operational Settings,ويب الإدارة (Admin Web),P0,تعريف وإدارة إعدادات التشغيل.,التوصيل (Delivery) | المشاوير (Rides) | النقل (Transport) | السفريات (Travel) | التذاكر (Ticketing) | GPS | الجوال (Mobile),النطاق (Scope) | المفتاح (Key) | القيمة (Value) | تاريخ السريان (Effective Date) | الحالة (Status) | ملاحظات (Notes) | آخر تعديل (Last Modified),الرمز (Code) | الاسم (Name) | الفرع/الشركة (Branch/Company) | الحالة (Status),جديد (New) | حفظ (Save) | تعديل (Edit) | تعطيل/تفعيل (Disable/Enable) | بحث (Search),Draft/Active → Disable with reference checks,ORG-008.View | ORG-008.Manage,OperationalSettings,,W3-P1-005;W3-P1-006,MAPPED_TO_LEGACY_SCREEN,RETAIN_AND_NORMALIZE,YES,تثبيت الربط لا يعني إغلاق W3؛ تفاصيل الحقول والحالات والأفعال محفوظة في عقد W3.
U-SCR-017,PTY-001,PTY,الأطراف والعملاء,العملاء الأفراد,Individual Customers,ويب الإدارة (Admin Web),P1,بيانات العميل الفردي وعناوينه وتفضيلاته.,البيانات (General) | العناوين (Addresses) | طرق الدفع (Payments) | الطلبات (Orders) | الرحلات/التذاكر (Trips/Tickets) | التقييمات (Ratings) | التدقيق (Audit),الرقم (Party No) | الاسم (Name) | الهاتف (Mobile) | البريد (Email) | نوع الطرف (Party Type) | العملة (Currency) | الحالة (Status),الاسم (Name) | الهاتف (Mobile) | المدينة (City) | النوع (Type) | الحالة (Status),جديد (New) | حفظ (Save) | تعديل (Edit) | إيقاف (Disable) | فتح السجل (Open Record),Create → Validate → Active → Suspended/Closed,PTY-001.View | PTY-001.Manage,Parties | PartyAddresses | PartyContacts,,,,RETAIN_AND_NORMALIZE,NO,السجل القديم محفوظ كما هو.
U-SCR-018,PTY-002,PTY,الأطراف والعملاء,عملاء الأعمال,Business Customers,ويب الإدارة (Admin Web),P1,الشركات والتجار الذين ينشئون طلبات بكميات أو عبر API.,البيانات (General) | الفروع (Branches) | المستخدمون (Users) | الائتمان (Credit) | العقود (Contracts) | الأسعار (Rates) | API | التدقيق (Audit),الرقم (Party No) | الاسم (Name) | الهاتف (Mobile) | البريد (Email) | نوع الطرف (Party Type) | العملة (Currency) | الحالة (Status),الاسم (Name) | الهاتف (Mobile) | المدينة (City) | النوع (Type) | الحالة (Status),جديد (New) | حفظ (Save) | تعديل (Edit) | إيقاف (Disable) | فتح السجل (Open Record),Create → Validate → Active → Suspended/Closed,PTY-002.View | PTY-002.Manage,Parties | PartyAddresses | PartyContacts,,,,RETAIN_AND_NORMALIZE,NO,السجل القديم محفوظ كما هو.
U-SCR-019,PTY-003,PTY,الأطراف والعملاء,المتاجر/التجار,Merchants,ويب الإدارة (Admin Web),P1,تعريف المتاجر ونقاط الاستلام وعقود التوصيل.,البيانات (General) | المواقع (Locations) | ساعات العمل (Hours) | التسعير (Pricing) | التحصيل (Collections) | التقارير (Reports),الرقم (Party No) | الاسم (Name) | الهاتف (Mobile) | البريد (Email) | نوع الطرف (Party Type) | العملة (Currency) | الحالة (Status),الاسم (Name) | الهاتف (Mobile) | المدينة (City) | النوع (Type) | الحالة (Status),جديد (New) | حفظ (Save) | تعديل (Edit) | إيقاف (Disable) | فتح السجل (Open Record),Create → Validate → Active → Suspended/Closed,PTY-003.View | PTY-003.Manage,Parties | PartyAddresses | PartyContacts,,,,RETAIN_AND_NORMALIZE,NO,السجل القديم محفوظ كما هو.
U-SCR-020,PTY-004,PTY,الأطراف والعملاء,المرسلون والمستلمون,Senders & Receivers,ويب الإدارة (Admin Web),P1,دليل سريع للأطراف المتكررة في الشحن والتوصيل.,البيانات (General) | العناوين (Addresses) | المستندات (Documents) | التاريخ (History),الرقم (Party No) | الاسم (Name) | الهاتف (Mobile) | البريد (Email) | نوع الطرف (Party Type) | العملة (Currency) | الحالة (Status),الاسم (Name) | الهاتف (Mobile) | المدينة (City) | النوع (Type) | الحالة (Status),جديد (New) | حفظ (Save) | تعديل (Edit) | إيقاف (Disable) | فتح السجل (Open Record),Create → Validate → Active → Suspended/Closed,PTY-004.View | PTY-004.Manage,Parties | PartyAddresses | PartyContacts,,,,RETAIN_AND_NORMALIZE,NO,السجل القديم محفوظ كما هو.
U-SCR-021,PTY-005,PTY,الأطراف والعملاء,مقدمو الخدمة/الناقلون,Carriers & Service Providers,ويب الإدارة (Admin Web),P1,تعريف الناقلين الخارجيين ومقدمي الخدمات.,البيانات (General) | المركبات (Fleet) | التراخيص (Licenses) | التغطية (Coverage) | الأسعار (Rates) | التسوية (Settlement) | التدقيق (Audit),الرقم (Party No) | الاسم (Name) | الهاتف (Mobile) | البريد (Email) | نوع الطرف (Party Type) | العملة (Currency) | الحالة (Status),الاسم (Name) | الهاتف (Mobile) | المدينة (City) | النوع (Type) | الحالة (Status),جديد (New) | حفظ (Save) | تعديل (Edit) | إيقاف (Disable) | فتح السجل (Open Record),Create → Validate → Active → Suspended/Closed,PTY-005.View | PTY-005.Manage,Parties | PartyAddresses | PartyContacts,,,,RETAIN_AND_NORMALIZE,NO,السجل القديم محفوظ كما هو.
U-SCR-022,PTY-006,PTY,الأطراف والعملاء,الوكلاء ومكاتب السفر,Agents & Travel Offices,ويب الإدارة (Admin Web),P1,إدارة وكلاء بيع التذاكر ومكاتب السفر وقنوات البيع.,البيانات (General) | المستخدمون (Users) | المحطات (Stations) | العمولات (Commissions) | حدود البيع (Sales Limits) | الصندوق (Cash) | التدقيق (Audit),الرقم (Party No) | الاسم (Name) | الهاتف (Mobile) | البريد (Email) | نوع الطرف (Party Type) | العملة (Currency) | الحالة (Status),الاسم (Name) | الهاتف (Mobile) | المدينة (City) | النوع (Type) | الحالة (Status),جديد (New) | حفظ (Save) | تعديل (Edit) | إيقاف (Disable) | فتح السجل (Open Record),Create → Validate → Active → Suspended/Closed,PTY-006.View | PTY-006.Manage,Parties | PartyAddresses | PartyContacts,,,,RETAIN_AND_NORMALIZE,NO,السجل القديم محفوظ كما هو.
U-SCR-023,PTY-007,PTY,الأطراف والعملاء,حسابات الشركات المتعاقدة,Corporate Accounts,ويب الإدارة (Admin Web),P1,إدارة الشركات ذات العقود والائتمان والفوترة الدورية.,الحساب (Account) | المستخدمون (Users) | حد الائتمان (Credit Limit) | الفواتير (Invoices) | التسويات (Settlements) | التدقيق (Audit),الرقم (Party No) | الاسم (Name) | الهاتف (Mobile) | البريد (Email) | نوع الطرف (Party Type) | العملة (Currency) | الحالة (Status),الاسم (Name) | الهاتف (Mobile) | المدينة (City) | النوع (Type) | الحالة (Status),جديد (New) | حفظ (Save) | تعديل (Edit) | إيقاف (Disable) | فتح السجل (Open Record),Create → Validate → Active → Suspended/Closed,PTY-007.View | PTY-007.Manage,Parties | PartyAddresses | PartyContacts,,,,RETAIN_AND_NORMALIZE,NO,السجل القديم محفوظ كما هو.
U-SCR-024,PTY-008,PTY,الأطراف والعملاء,دفتر العناوين,Address Book,ويب الإدارة (Admin Web),P1,حفظ عناوين العميل/التاجر وتحديدها على الخريطة.,العنوان (Address) | الموقع (Map) | تعليمات الوصول (Instructions) | التحقق (Verification),الرقم (Party No) | الاسم (Name) | الهاتف (Mobile) | البريد (Email) | نوع الطرف (Party Type) | العملة (Currency) | الحالة (Status),الاسم (Name) | الهاتف (Mobile) | المدينة (City) | النوع (Type) | الحالة (Status),جديد (New) | حفظ (Save) | تعديل (Edit) | إيقاف (Disable) | فتح السجل (Open Record),Create → Validate → Active → Suspended/Closed,PTY-008.View | PTY-008.Manage,Parties | PartyAddresses | PartyContacts,,,,RETAIN_AND_NORMALIZE,NO,السجل القديم محفوظ كما هو.
U-SCR-025,PRC-001,PRC,التسعير والتعرفة,تعرفة المشاوير,Ride Tariffs,ويب الإدارة (Admin Web),P1,تعريف تسعير المشاوير حسب المسافة والزمن والمنطقة ونوع المركبة.,القاعدة (Rule) | النطاق (Scope) | الشروط (Conditions) | الشرائح (Tiers) | السريان (Validity) | التدقيق (Audit),الرمز (Code) | الاسم (Name) | نوع الخدمة (Service Type) | منطقة/خط (Area/Route) | نوع المركبة/فئة المقعد (Vehicle/Seat Class) | القيمة (Amount/Formula) | العملة (Currency) | من (Valid From) | إلى (Valid To) | الحالة (Status),الشريحة (Tier) | من (From) | إلى (To) | السعر (Price) | الوحدة (Unit),جديد (New) | حفظ (Save) | محاكاة سعر (Price Simulation) | تفعيل (Activate) | إيقاف (Disable),Draft → Test → Approve if controlled → Active → Expired,PRC-001.View | PRC-001.Manage,PricingRules | PricingTiers | Promotions,,,,RETAIN_AND_NORMALIZE,NO,السجل القديم محفوظ كما هو.
U-SCR-026,PRC-002,PRC,التسعير والتعرفة,تعرفة التوصيل,Delivery Tariffs,ويب الإدارة (Admin Web),P1,تعريف أسعار التوصيل حسب المنطقة/المسافة/الوزن/الخدمة.,القاعدة (Rule) | النطاق (Scope) | الشروط (Conditions) | الشرائح (Tiers) | السريان (Validity) | التدقيق (Audit),الرمز (Code) | الاسم (Name) | نوع الخدمة (Service Type) | منطقة/خط (Area/Route) | نوع المركبة/فئة المقعد (Vehicle/Seat Class) | القيمة (Amount/Formula) | العملة (Currency) | من (Valid From) | إلى (Valid To) | الحالة (Status),الشريحة (Tier) | من (From) | إلى (To) | السعر (Price) | الوحدة (Unit),جديد (New) | حفظ (Save) | محاكاة سعر (Price Simulation) | تفعيل (Activate) | إيقاف (Disable),Draft → Test → Approve if controlled → Active → Expired,PRC-002.View | PRC-002.Manage,PricingRules | PricingTiers | Promotions,,,,RETAIN_AND_NORMALIZE,NO,السجل القديم محفوظ كما هو.
U-SCR-027,PRC-003,PRC,التسعير والتعرفة,تعرفة النقل,Transport Tariffs,ويب الإدارة (Admin Web),P1,أسعار النقل الخفيف والمتوسط والثقيل وبين المدن.,القاعدة (Rule) | النطاق (Scope) | الشروط (Conditions) | الشرائح (Tiers) | السريان (Validity) | التدقيق (Audit),الرمز (Code) | الاسم (Name) | نوع الخدمة (Service Type) | منطقة/خط (Area/Route) | نوع المركبة/فئة المقعد (Vehicle/Seat Class) | القيمة (Amount/Formula) | العملة (Currency) | من (Valid From) | إلى (Valid To) | الحالة (Status),الشريحة (Tier) | من (From) | إلى (To) | السعر (Price) | الوحدة (Unit),جديد (New) | حفظ (Save) | محاكاة سعر (Price Simulation) | تفعيل (Activate) | إيقاف (Disable),Draft → Test → Approve if controlled → Active → Expired,PRC-003.View | PRC-003.Manage,PricingRules | PricingTiers | Promotions,,,,RETAIN_AND_NORMALIZE,NO,السجل القديم محفوظ كما هو.
U-SCR-028,PRC-004,PRC,التسعير والتعرفة,تعرفة السفر,Passenger Fares,ويب الإدارة (Admin Web),P1,تعريف أجور السفر حسب الخط والمحطة وفئة المقعد.,القاعدة (Rule) | النطاق (Scope) | الشروط (Conditions) | الشرائح (Tiers) | السريان (Validity) | التدقيق (Audit),الرمز (Code) | الاسم (Name) | نوع الخدمة (Service Type) | منطقة/خط (Area/Route) | نوع المركبة/فئة المقعد (Vehicle/Seat Class) | القيمة (Amount/Formula) | العملة (Currency) | من (Valid From) | إلى (Valid To) | الحالة (Status),الشريحة (Tier) | من (From) | إلى (To) | السعر (Price) | الوحدة (Unit),جديد (New) | حفظ (Save) | محاكاة سعر (Price Simulation) | تفعيل (Activate) | إيقاف (Disable),Draft → Test → Approve if controlled → Active → Expired,PRC-004.View | PRC-004.Manage,PricingRules | PricingTiers | Promotions,,,,RETAIN_AND_NORMALIZE,NO,السجل القديم محفوظ كما هو.
U-SCR-029,PRC-005,PRC,التسعير والتعرفة,فئات الأسعار,Fare Classes,ويب الإدارة (Admin Web),P1,فئات مرن/مقيد/اقتصادي/أعمال والسياسات المرتبطة.,القاعدة (Rule) | النطاق (Scope) | الشروط (Conditions) | الشرائح (Tiers) | السريان (Validity) | التدقيق (Audit),الرمز (Code) | الاسم (Name) | نوع الخدمة (Service Type) | منطقة/خط (Area/Route) | نوع المركبة/فئة المقعد (Vehicle/Seat Class) | القيمة (Amount/Formula) | العملة (Currency) | من (Valid From) | إلى (Valid To) | الحالة (Status),الشريحة (Tier) | من (From) | إلى (To) | السعر (Price) | الوحدة (Unit),جديد (New) | حفظ (Save) | محاكاة سعر (Price Simulation) | تفعيل (Activate) | إيقاف (Disable),Draft → Test → Approve if controlled → Active → Expired,PRC-005.View | PRC-005.Manage,PricingRules | PricingTiers | Promotions,,,,RETAIN_AND_NORMALIZE,NO,السجل القديم محفوظ كما هو.
U-SCR-030,PRC-006,PRC,التسعير والتعرفة,الرسوم والإضافات,Fees & Surcharges,ويب الإدارة (Admin Web),P1,رسوم الحجز والإلغاء والأمتعة والطرق والخدمات.,القاعدة (Rule) | النطاق (Scope) | الشروط (Conditions) | الشرائح (Tiers) | السريان (Validity) | التدقيق (Audit),الرمز (Code) | الاسم (Name) | نوع الخدمة (Service Type) | منطقة/خط (Area/Route) | نوع المركبة/فئة المقعد (Vehicle/Seat Class) | القيمة (Amount/Formula) | العملة (Currency) | من (Valid From) | إلى (Valid To) | الحالة (Status),الشريحة (Tier) | من (From) | إلى (To) | السعر (Price) | الوحدة (Unit),جديد (New) | حفظ (Save) | محاكاة سعر (Price Simulation) | تفعيل (Activate) | إيقاف (Disable),Draft → Test → Approve if controlled → Active → Expired,PRC-006.View | PRC-006.Manage,PricingRules | PricingTiers | Promotions,,,,RETAIN_AND_NORMALIZE,NO,السجل القديم محفوظ كما هو.
U-SCR-031,PRC-007,PRC,التسعير والتعرفة,الخصومات والعروض,Discounts & Promotions,ويب الإدارة (Admin Web),P1,قواعد الخصم، الكوبونات، الإحالات والعروض.,القاعدة (Rule) | النطاق (Scope) | الشروط (Conditions) | الشرائح (Tiers) | السريان (Validity) | التدقيق (Audit),الرمز (Code) | الاسم (Name) | نوع الخدمة (Service Type) | منطقة/خط (Area/Route) | نوع المركبة/فئة المقعد (Vehicle/Seat Class) | القيمة (Amount/Formula) | العملة (Currency) | من (Valid From) | إلى (Valid To) | الحالة (Status),الشريحة (Tier) | من (From) | إلى (To) | السعر (Price) | الوحدة (Unit),جديد (New) | حفظ (Save) | محاكاة سعر (Price Simulation) | تفعيل (Activate) | إيقاف (Disable),Draft → Test → Approve if controlled → Active → Expired,PRC-007.View | PRC-007.Manage,PricingRules | PricingTiers | Promotions,,,,RETAIN_AND_NORMALIZE,NO,السجل القديم محفوظ كما هو.
