Unified_Table_ID,Legacy_Table_ID,Table_Code,Arabic_Name,Module,Purpose,PK,FKs,Core_Columns,Constraints_Indexes,Source_Status,P1_W1_Contract_ID,Disposition,Decision_Required,Notes
U-TBL-011,11,UserRoles,أدوار المستخدم,PLT,ربط مستخدمين بأدوار,UserRoleId,"UserId,RoleId",UserId bigint; RoleId bigint; EffectiveFrom datetime; EffectiveTo datetime,"UQ(UserId,RoleId,EffectiveFrom)",LEGACY_REGISTERED,,RETAIN_AND_NORMALIZE,NO,السجل القديم محفوظ كما هو؛ أي تغيير لاحق يمر عبر إدارة التغيير وإصدار جديد.
U-TBL-012,12,RolePermissions,صلاحيات الدور,PLT,ربط الأدوار بالصلاحيات,RolePermissionId,"RoleId,PermissionId",RoleId bigint; PermissionId bigint; Allowed bit,"UQ(RoleId,PermissionId)",LEGACY_REGISTERED,,RETAIN_AND_NORMALIZE,NO,السجل القديم محفوظ كما هو؛ أي تغيير لاحق يمر عبر إدارة التغيير وإصدار جديد.
U-TBL-013,13,UserScopes,نطاق بيانات المستخدم,PLT,تقييد الشركة/الفرع/المحور/المسار,UserScopeId,UserId,UserId bigint; ScopeType varchar(30); ScopeId bigint; CanView bit; CanAct bit,"UQ(UserId,ScopeType,ScopeId)",LEGACY_REGISTERED,,RETAIN_AND_NORMALIZE,NO,السجل القديم محفوظ كما هو؛ أي تغيير لاحق يمر عبر إدارة التغيير وإصدار جديد.
U-TBL-014,14,AuditLogs,سجل التدقيق,PLT,سجل أحداث غير قابل للتعديل,AuditLogId,UserId,UserId bigint; Action varchar(100); EntityType varchar(100); EntityId varchar(100); CorrelationId varchar(100); IpAddress varchar(64); DeviceInfo varchar(500); CreatedAt datetime,"IDX(EntityType,EntityId,CreatedAt)",LEGACY_REGISTERED,,RETAIN_AND_NORMALIZE,NO,السجل القديم محفوظ كما هو؛ أي تغيير لاحق يمر عبر إدارة التغيير وإصدار جديد.
U-TBL-015,15,Parties,الأطراف,PTY,العملاء والشركات والموردون والوكلاء,PartyId,CompanyId,PartyType varchar(30); PartyNo varchar(40); NameAr varchar(250); NameEn varchar(250); Mobile varchar(40); Email varchar(200); TaxNo varchar(80); CurrencyId bigint; Status tinyint,"UQ(CompanyId,PartyNo)",LEGACY_REGISTERED,,RETAIN_AND_NORMALIZE,NO,السجل القديم محفوظ كما هو؛ أي تغيير لاحق يمر عبر إدارة التغيير وإصدار جديد.
U-TBL-016,16,PartyAddresses,عناوين الأطراف,PTY,العناوين المحفوظة,PartyAddressId,PartyId,"PartyId bigint; Label varchar(100); AddressText varchar(500); City varchar(120); Latitude decimal(10,7); Longitude decimal(10,7); Instructions varchar(500); IsDefault bit","IDX(PartyId,IsDefault)",LEGACY_REGISTERED,,RETAIN_AND_NORMALIZE,NO,السجل القديم محفوظ كما هو؛ أي تغيير لاحق يمر عبر إدارة التغيير وإصدار جديد.
U-TBL-017,17,Agents,الوكلاء,PTY,وكلاء السفر والبيع,AgentId,"PartyId,BranchId","PartyId bigint; BranchId bigint; CommissionPlanId bigint; CreditLimit decimal(18,2); Status tinyint",UQ(PartyId),LEGACY_REGISTERED,,RETAIN_AND_NORMALIZE,NO,السجل القديم محفوظ كما هو؛ أي تغيير لاحق يمر عبر إدارة التغيير وإصدار جديد.
U-TBL-018,18,RideOrders,طلبات المشاوير,RID,طلبات المشاوير,RideOrderId,"CustomerPartyId,ServiceTypeId","RideNo varchar(40); CustomerPartyId bigint; ServiceTypeId bigint; PickupAddressId bigint; DropoffAddressId bigint; RequestedAt datetime; ScheduledAt datetime; VehicleTypeId bigint; EstimatedFare decimal(18,2); FinalFare decimal(18,2); PaymentMethodId bigint; Status varchar(30)","UQ(RideNo); IDX(Status,ScheduledAt)",LEGACY_REGISTERED,,RETAIN_AND_NORMALIZE,NO,السجل القديم محفوظ كما هو؛ أي تغيير لاحق يمر عبر إدارة التغيير وإصدار جديد.
U-TBL-019,19,RideStops,توقفات المشوار,RID,نقاط المشوار,RideStopId,RideOrderId,"RideOrderId bigint; Seq int; StopType varchar(20); AddressText varchar(500); Latitude decimal(10,7); Longitude decimal(10,7); PlannedAt datetime; ActualAt datetime","UQ(RideOrderId,Seq)",LEGACY_REGISTERED,,RETAIN_AND_NORMALIZE,NO,السجل القديم محفوظ كما هو؛ أي تغيير لاحق يمر عبر إدارة التغيير وإصدار جديد.
U-TBL-020,20,RideAssignments,إسناد المشوار,RID,ربط المشوار بالسائق والمركبة,RideAssignmentId,"RideOrderId,DriverId,VehicleId",AssignedAt datetime; AcceptedAt datetime; RejectedAt datetime; AssignmentStatus varchar(30); Reason varchar(500),"IDX(DriverId,AssignmentStatus)",LEGACY_REGISTERED,,RETAIN_AND_NORMALIZE,NO,السجل القديم محفوظ كما هو؛ أي تغيير لاحق يمر عبر إدارة التغيير وإصدار جديد.
U-TBL-021,21,DeliveryOrders,طلبات التوصيل,LMD,رأس طلب التوصيل,DeliveryOrderId,"CustomerPartyId,ServiceTypeId","OrderNo varchar(40); CustomerPartyId bigint; ServiceTypeId bigint; PickupContactId bigint; DeliveryContactId bigint; PickupWindowFrom datetime; PickupWindowTo datetime; DeliveryWindowFrom datetime; DeliveryWindowTo datetime; CODAmount decimal(18,2); CurrencyId bigint; Status varchar(30)","UQ(OrderNo); IDX(Status,DeliveryWindowFrom)",LEGACY_REGISTERED,,RETAIN_AND_NORMALIZE,NO,السجل القديم محفوظ كما هو؛ أي تغيير لاحق يمر عبر إدارة التغيير وإصدار جديد.
U-TBL-022,22,DeliveryOrderItems,بنود طلب التوصيل,LMD,الأصناف/الطرود داخل الطلب,DeliveryOrderItemId,DeliveryOrderId,"DeliveryOrderId bigint; ItemName varchar(250); Qty decimal(18,3); Weight decimal(18,3); Volume decimal(18,3); Length decimal(18,3); Width decimal(18,3); Height decimal(18,3); Barcode varchar(100); DeclaredValue decimal(18,2); Fragile bit",IDX(DeliveryOrderId); UQ(Barcode nullable),LEGACY_REGISTERED,,RETAIN_AND_NORMALIZE,NO,السجل القديم محفوظ كما هو؛ أي تغيير لاحق يمر عبر إدارة التغيير وإصدار جديد.
U-TBL-023,23,DeliveryTasks,مهام التوصيل,LMD,مهام Pickup/Delivery,DeliveryTaskId,"DeliveryOrderId,RouteId,DriverId","TaskType varchar(20); Seq int; AddressText varchar(500); Latitude decimal(10,7); Longitude decimal(10,7); TimeWindowFrom datetime; TimeWindowTo datetime; ServiceTimeMinutes int; Status varchar(30)","IDX(RouteId,Seq); IDX(DriverId,Status)",LEGACY_REGISTERED,,RETAIN_AND_NORMALIZE,NO,السجل القديم محفوظ كما هو؛ أي تغيير لاحق يمر عبر إدارة التغيير وإصدار جديد.
U-TBL-024,24,Routes,المسارات,LMD,مسار تشغيل سائق/مركبة,RouteId,"HubId,DriverId,VehicleId",RouteNo varchar(40); RouteDate date; HubId bigint; DriverId bigint; VehicleId bigint; PlannedStart datetime; ActualStart datetime; PlannedEnd datetime; ActualEnd datetime; Status varchar(30),UQ(RouteNo),LEGACY_REGISTERED,,RETAIN_AND_NORMALIZE,NO,السجل القديم محفوظ كما هو؛ أي تغيير لاحق يمر عبر إدارة التغيير وإصدار جديد.
U-TBL-025,25,RouteStops,توقفات المسار,LMD,تسلسل التوقفات,RouteStopId,"RouteId,DeliveryTaskId",RouteId bigint; Seq int; DeliveryTaskId bigint; PlannedArrival datetime; EstimatedArrival datetime; ActualArrival datetime; ActualDeparture datetime; Status varchar(30),"UQ(RouteId,Seq)",LEGACY_REGISTERED,,RETAIN_AND_NORMALIZE,NO,السجل القديم محفوظ كما هو؛ أي تغيير لاحق يمر عبر إدارة التغيير وإصدار جديد.
U-TBL-026,26,ProofOfDelivery,إثبات التسليم,LMD,إثبات نتيجة المهمة,ProofOfDeliveryId,DeliveryTaskId,"DeliveryTaskId bigint; Result varchar(20); RecipientName varchar(200); RecipientIdNo varchar(100); SignatureFileId bigint; PhotoFileId bigint; BarcodeValue varchar(100); Latitude decimal(10,7); Longitude decimal(10,7); CompletedAt datetime; Notes varchar(1000)",UQ(DeliveryTaskId),LEGACY_REGISTERED,,RETAIN_AND_NORMALIZE,NO,السجل القديم محفوظ كما هو؛ أي تغيير لاحق يمر عبر إدارة التغيير وإصدار جديد.
U-TBL-027,27,DeliveryExceptions,استثناءات التوصيل,LMD,فشل/رفض/جزئي/إعادة محاولة,DeliveryExceptionId,DeliveryTaskId,"ExceptionType varchar(40); ReasonCode varchar(40); QtyRejected decimal(18,3); RescheduleAt datetime; ReturnRequired bit; Notes varchar(1000); CreatedAt datetime",IDX(DeliveryTaskId),LEGACY_REGISTERED,,RETAIN_AND_NORMALIZE,NO,السجل القديم محفوظ كما هو؛ أي تغيير لاحق يمر عبر إدارة التغيير وإصدار جديد.
U-TBL-028,28,TransportOrders,أوامر النقل,TRN,طلب نقل تشغيلي عام,TransportOrderId,"CustomerPartyId,ServiceTypeId","OrderNo varchar(40); TransportType varchar(30); OriginLocationId bigint; DestinationLocationId bigint; PickupFrom datetime; DeliveryBy datetime; TotalWeight decimal(18,3); TotalVolume decimal(18,3); Status varchar(30)",UQ(OrderNo),LEGACY_REGISTERED,,RETAIN_AND_NORMALIZE,NO,السجل القديم محفوظ كما هو؛ أي تغيير لاحق يمر عبر إدارة التغيير وإصدار جديد.
U-TBL-029,29,Waybills,البوالص,TRN,رأس البوليصة,WaybillId,"TransportOrderId,SenderPartyId,ReceiverPartyId","WaybillNo varchar(40); BookletNo varchar(40); TransportOrderId bigint; SenderPartyId bigint; ReceiverPartyId bigint; PayerType varchar(20); CurrencyId bigint; FreightAmount decimal(18,2); CollectedAmount decimal(18,2); OutstandingAmount decimal(18,2); OperationalStatus varchar(30); FinancialStatus varchar(30)",UQ(WaybillNo),LEGACY_REGISTERED,,RETAIN_AND_NORMALIZE,NO,السجل القديم محفوظ كما هو؛ أي تغيير لاحق يمر عبر إدارة التغيير وإصدار جديد.
U-TBL-030,30,WaybillItems,بنود البوليصة,TRN,أصناف/طرود البوليصة متعددة البنود,WaybillItemId,WaybillId,"WaybillId bigint; ItemName varchar(250); Qty decimal(18,3); Pieces int; UnitCode varchar(30); Barcode varchar(100); DeclaredWeight decimal(18,3); ActualWeight decimal(18,3); GrossWeight decimal(18,3); VolumetricWeight decimal(18,3); ChargeableWeight decimal(18,3); WeightUnit varchar(20); WeightSource varchar(30); Length decimal(18,3); Width decimal(18,3); Height decimal(18,3); Volume decimal(18,3); DeclaredValue decimal(18,2); Fragile bit; CustomsRequired bit; ItemStatus varchar(30)",IDX(WaybillId); IDX(Barcode),LEGACY_REGISTERED,,RETAIN_AND_NORMALIZE,NO,السجل القديم محفوظ كما هو؛ أي تغيير لاحق يمر عبر إدارة التغيير وإصدار جديد.
U-TBL-031,31,WaybillItemMeasurements,قياسات وأوزان أصناف البوليصة,TRN,حفظ قياسات/أوزان فعلية أو معاد قياسها مع مصدر القياس وتاريخه,WaybillItemMeasurementId,WaybillItemId,"WaybillItemId bigint; MeasurementType varchar(30); Weight decimal(18,3); WeightUnit varchar(20); Length decimal(18,3); Width decimal(18,3); Height decimal(18,3); Volume decimal(18,3); Source varchar(30); MeasuredAt datetime; MeasuredBy bigint; Notes varchar(500)","IDX(WaybillItemId,MeasuredAt)",LEGACY_REGISTERED,,RETAIN_AND_NORMALIZE,NO,السجل القديم محفوظ كما هو؛ أي تغيير لاحق يمر عبر إدارة التغيير وإصدار جديد.
U-TBL-032,32,WaybillLegs,مراحل البوليصة,TRN,المراحل بين الفروع والمدن,WaybillLegId,WaybillId,"WaybillId bigint; Seq int; FromLocationId bigint; ToLocationId bigint; PlannedTripId bigint; PlannedQty decimal(18,3); MovedQty decimal(18,3); DeliveredQty decimal(18,3); Status varchar(30)","UQ(WaybillId,Seq)",LEGACY_REGISTERED,,RETAIN_AND_NORMALIZE,NO,السجل القديم محفوظ كما هو؛ أي تغيير لاحق يمر عبر إدارة التغيير وإصدار جديد.
U-TBL-033,33,ShipmentSplits,تجزئة الشحنات,TRN,توزيع البنود على رحلات مختلفة,ShipmentSplitId,"WaybillItemId,FreightTripId","WaybillItemId bigint; FreightTripId bigint; Qty decimal(18,3); Pieces int; Weight decimal(18,3); Status varchar(30)","UQ(WaybillItemId,FreightTripId)",LEGACY_REGISTERED,,RETAIN_AND_NORMALIZE,NO,السجل القديم محفوظ كما هو؛ أي تغيير لاحق يمر عبر إدارة التغيير وإصدار جديد.
U-TBL-034,34,FreightTrips,رحلات الشحن,TRN,رأس رحلة النقل,FreightTripId,"VehicleId,DriverId",TripNo varchar(40); TransportMode varchar(20); VehicleId bigint; DriverId bigint; CoDriverId bigint; OriginLocationId bigint; DestinationLocationId bigint; PlannedDeparture datetime; ActualDeparture datetime; PlannedArrival datetime; ActualArrival datetime; Status varchar(30),UQ(TripNo),LEGACY_REGISTERED,,RETAIN_AND_NORMALIZE,NO,السجل القديم محفوظ كما هو؛ أي تغيير لاحق يمر عبر إدارة التغيير وإصدار جديد.
U-TBL-035,35,FreightManifests,مانيفست الشحن,TRN,قائمة حمولة الرحلة,FreightManifestId,FreightTripId,ManifestNo varchar(40); FreightTripId bigint; CreatedAt datetime; LoadConfirmedAt datetime; Status varchar(30),UQ(ManifestNo); UQ(FreightTripId),LEGACY_REGISTERED,,RETAIN_AND_NORMALIZE,NO,السجل القديم محفوظ كما هو؛ أي تغيير لاحق يمر عبر إدارة التغيير وإصدار جديد.
U-TBL-036,36,FreightManifestItems,بنود مانيفست الشحن,TRN,البوالص/الطرود ضمن الرحلة,FreightManifestItemId,"FreightManifestId,WaybillId,WaybillItemId","FreightManifestId bigint; WaybillId bigint; WaybillItemId bigint; Qty decimal(18,3); Pieces int; LoadStatus varchar(30); UnloadStatus varchar(30)",IDX(FreightManifestId),LEGACY_REGISTERED,,RETAIN_AND_NORMALIZE,NO,السجل القديم محفوظ كما هو؛ أي تغيير لاحق يمر عبر إدارة التغيير وإصدار جديد.
U-TBL-037,37,TripStops,توقفات رحلة الشحن,TRN,توقفات متعددة للتحميل/التفريغ,TripStopId,FreightTripId,FreightTripId bigint; Seq int; LocationId bigint; StopType varchar(20); PlannedArrival datetime; EstimatedArrival datetime; ActualArrival datetime; ActualDeparture datetime; Status varchar(30),"UQ(FreightTripId,Seq)",LEGACY_REGISTERED,,RETAIN_AND_NORMALIZE,NO,السجل القديم محفوظ كما هو؛ أي تغيير لاحق يمر عبر إدارة التغيير وإصدار جديد.
U-TBL-038,38,PassengerRoutes,خطوط السفر,TRV,تعريف خط السفر واتجاهه,PassengerRouteId,-,RouteCode varchar(30); NameAr varchar(200); NameEn varchar(200); OriginStationId bigint; DestinationStationId bigint; Status tinyint,UQ(RouteCode),LEGACY_REGISTERED,,RETAIN_AND_NORMALIZE,NO,السجل القديم محفوظ كما هو؛ أي تغيير لاحق يمر عبر إدارة التغيير وإصدار جديد.
U-TBL-039,39,PassengerRouteStops,محطات الخط,TRV,ترتيب المحطات,PassengerRouteStopId,"PassengerRouteId,ServicePointId","PassengerRouteId bigint; Seq int; ServicePointId bigint; DistanceKm decimal(18,3); PlannedTravelMinutes int","UQ(PassengerRouteId,Seq)",LEGACY_REGISTERED,,RETAIN_AND_NORMALIZE,NO,السجل القديم محفوظ كما هو؛ أي تغيير لاحق يمر عبر إدارة التغيير وإصدار جديد.
U-TBL-040,40,PassengerSchedules,الجداول الزمنية,TRV,جدول مبيعات وتشغيل متكرر,PassengerScheduleId,"PassengerRouteId,VehicleTypeId,SeatMapId",ScheduleCode varchar(40); PassengerRouteId bigint; DepartureTime time; ArrivalTime time; OperatingDays varchar(20); ValidFrom date; ValidTo date; VehicleTypeId bigint; SeatMapId bigint; Capacity int; DefaultManifestStatus varchar(20); Status tinyint,"IDX(PassengerRouteId,ValidFrom,ValidTo)",LEGACY_REGISTERED,,RETAIN_AND_NORMALIZE,NO,السجل القديم محفوظ كما هو؛ أي تغيير لاحق يمر عبر إدارة التغيير وإصدار جديد.
U-TBL-041,41,PassengerTrips,الرحلات الفعلية,TRV,رحلة بتاريخ محدد مشتقة من الجدول,PassengerTripId,"PassengerScheduleId,VehicleId,DriverId",TripNo varchar(40); PassengerScheduleId bigint; TripDate date; VehicleId bigint; DriverId bigint; CoDriverId bigint; PlannedDeparture datetime; ActualDeparture datetime; PlannedArrival datetime; ActualArrival datetime; ManifestStatus varchar(20); Status varchar(30),"UQ(TripNo); UQ(PassengerScheduleId,TripDate)",LEGACY_REGISTERED,,RETAIN_AND_NORMALIZE,NO,السجل القديم محفوظ كما هو؛ أي تغيير لاحق يمر عبر إدارة التغيير وإصدار جديد.
U-TBL-042,42,SeatMaps,مخططات المقاعد,TRV,تعريف مخطط المقاعد,SeatMapId,VehicleTypeId,Name varchar(200); VehicleTypeId bigint; VersionNo int; Capacity int; Status tinyint,"UQ(Name,VersionNo)",LEGACY_REGISTERED,,RETAIN_AND_NORMALIZE,NO,السجل القديم محفوظ كما هو؛ أي تغيير لاحق يمر عبر إدارة التغيير وإصدار جديد.
U-TBL-043,43,SeatMapSections,أقسام مخطط المقاعد,TRV,طابق/قسم/صالة,SeatMapSectionId,SeatMapId,SeatMapId bigint; Name varchar(100); Seq int; RowsCount int; ColumnsCount int,"UQ(SeatMapId,Seq)",LEGACY_REGISTERED,,RETAIN_AND_NORMALIZE,NO,السجل القديم محفوظ كما هو؛ أي تغيير لاحق يمر عبر إدارة التغيير وإصدار جديد.
U-TBL-044,44,Seats,المقاعد,TRV,المقاعد والمرافق/الحالة,SeatId,SeatMapSectionId,SeatMapSectionId bigint; SeatNo varchar(20); RowNo int; ColumnNo int; SeatClassId bigint; IsAccessible bit; IsBlocked bit; X int; Y int,"UQ(SeatMapSectionId,SeatNo)",LEGACY_REGISTERED,,RETAIN_AND_NORMALIZE,NO,السجل القديم محفوظ كما هو؛ أي تغيير لاحق يمر عبر إدارة التغيير وإصدار جديد.
U-TBL-045,45,Bookings,الحجوزات,TRV,حجز واحد أو عدة ركاب,BookingId,"CustomerPartyId,AgentId","BookingNo varchar(40); CustomerPartyId bigint; AgentId bigint; Channel varchar(20); BookedAt datetime; HoldExpiresAt datetime; CurrencyId bigint; TotalAmount decimal(18,2); PaymentStatus varchar(20); BookingStatus varchar(30)",UQ(BookingNo),LEGACY_REGISTERED,,RETAIN_AND_NORMALIZE,NO,السجل القديم محفوظ كما هو؛ أي تغيير لاحق يمر عبر إدارة التغيير وإصدار جديد.
U-TBL-046,46,BookingPassengers,مسافرو الحجز,TRV,بيانات كل مسافر,BookingPassengerId,BookingId,BookingId bigint; PassengerName varchar(250); Gender varchar(10); BirthDate date; IdType varchar(30); IdNo varchar(100); Mobile varchar(40); SSRNotes varchar(500),IDX(BookingId),LEGACY_REGISTERED,,RETAIN_AND_NORMALIZE,NO,السجل القديم محفوظ كما هو؛ أي تغيير لاحق يمر عبر إدارة التغيير وإصدار جديد.
U-TBL-047,47,Tickets,التذاكر,TRV,تذكرة المسافر,TicketId,"BookingId,BookingPassengerId,PassengerTripId,SeatId","TicketNo varchar(50); BookingId bigint; BookingPassengerId bigint; PassengerTripId bigint; OriginStationId bigint; DestinationStationId bigint; FareClassId bigint; SeatId bigint; QrToken varchar(200); Price decimal(18,2); TicketStatus varchar(30); IssuedAt datetime; RedeemedAt datetime",UQ(TicketNo); UQ(QrToken),LEGACY_REGISTERED,,RETAIN_AND_NORMALIZE,NO,السجل القديم محفوظ كما هو؛ أي تغيير لاحق يمر عبر إدارة التغيير وإصدار جديد.
U-TBL-048,48,SeatHolds,حجوزات المقاعد المؤقتة,TRV,منع بيع المقعد أثناء جلسة الحجز,SeatHoldId,"PassengerTripId,SeatId",PassengerTripId bigint; SeatId bigint; SessionId varchar(100); HeldAt datetime; ExpiresAt datetime; Status varchar(20),"UQ active(PassengerTripId,SeatId)",LEGACY_REGISTERED,,RETAIN_AND_NORMALIZE,NO,السجل القديم محفوظ كما هو؛ أي تغيير لاحق يمر عبر إدارة التغيير وإصدار جديد.
U-TBL-049,49,FareClasses,فئات التعرفة,TRV,فئة مرن/مقيد وغيره,FareClassId,-,"Code varchar(30); NameAr varchar(200); Refundable bit; Changeable bit; BaggageAllowance decimal(18,3); Status tinyint",UQ(Code),LEGACY_REGISTERED,,RETAIN_AND_NORMALIZE,NO,السجل القديم محفوظ كما هو؛ أي تغيير لاحق يمر عبر إدارة التغيير وإصدار جديد.
U-TBL-050,50,PassengerFares,تعرفة السفر,TRV,السعر بين O&D حسب الفئة/المنتج,PassengerFareId,"PassengerRouteId,FareClassId","PassengerRouteId bigint; OriginStationId bigint; DestinationStationId bigint; FareClassId bigint; SeatClassId bigint; CurrencyId bigint; Amount decimal(18,2); ValidFrom date; ValidTo date","IDX(Route,Origin,Destination,ValidFrom)",LEGACY_REGISTERED,,RETAIN_AND_NORMALIZE,NO,السجل القديم محفوظ كما هو؛ أي تغيير لاحق يمر عبر إدارة التغيير وإصدار جديد.
U-TBL-051,51,TicketMovements,حركات تغيير/نقل التذكرة,TRV,تغيير ومMove/Re-accommodation,TicketMovementId,"TicketId,FromTripId,ToTripId",MovementType varchar(30); FromTripId bigint; ToTripId bigint; FromSeatId bigint; ToSeatId bigint; Reason varchar(500); PerformedBy bigint; PerformedAt datetime,"IDX(TicketId,PerformedAt)",LEGACY_REGISTERED,,RETAIN_AND_NORMALIZE,NO,السجل القديم محفوظ كما هو؛ أي تغيير لاحق يمر عبر إدارة التغيير وإصدار جديد.
U-TBL-052,52,TicketRefunds,استردادات التذاكر,TRV,تفاصيل الاسترداد والرسوم,TicketRefundId,"TicketId,PaymentId","RefundNo varchar(40); TicketId bigint; GrossAmount decimal(18,2); FeeAmount decimal(18,2); PenaltyAmount decimal(18,2); RefundAmount decimal(18,2); RefundMethodId bigint; ReasonCode varchar(40); Status varchar(20); ProcessedAt datetime",UQ(RefundNo),LEGACY_REGISTERED,,RETAIN_AND_NORMALIZE,NO,السجل القديم محفوظ كما هو؛ أي تغيير لاحق يمر عبر إدارة التغيير وإصدار جديد.
U-TBL-053,53,PassengerManifests,مانيفست الركاب,TRV,مانيفست رحلة الركاب,PassengerManifestId,PassengerTripId,ManifestNo varchar(40); PassengerTripId bigint; SequenceNo varchar(40); Capacity int; ReservedCount int; RedeemedCount int; NoShowCount int; ManifestStatus varchar(20),UQ(PassengerTripId),LEGACY_REGISTERED,,RETAIN_AND_NORMALIZE,NO,السجل القديم محفوظ كما هو؛ أي تغيير لاحق يمر عبر إدارة التغيير وإصدار جديد.
U-TBL-054,54,PassengerManifestItems,بنود مانيفست الركاب,TRV,كل تذكرة/راكب على المانيفست,PassengerManifestItemId,"PassengerManifestId,TicketId",PassengerManifestId bigint; TicketId bigint; BoardingStationId bigint; AlightingStationId bigint; SeatNo varchar(20); CheckInStatus varchar(20); BoardedAt datetime; AlightedAt datetime,"UQ(PassengerManifestId,TicketId)",LEGACY_REGISTERED,,RETAIN_AND_NORMALIZE,NO,السجل القديم محفوظ كما هو؛ أي تغيير لاحق يمر عبر إدارة التغيير وإصدار جديد.
