Rule_ID,Release_ID,Requirement,Category,Related_W1,Related_W2,Related_W3,Acceptance_IDs,Source,Status
BR-SHP-016,P2-C01-WAYBILL-SHIPPING-2026-08,One item may be split across multiple trips,MultiTrip,W1-P2C01-009;W1-P2C01-012,W2-P2C01-016,W3-P2C01-012,UAT-P2C01-011,KARRASA-WAYBILL-V1.1,READY_FOR_REVIEW
BR-SHP-017,P2-C01-WAYBILL-SHIPPING-2026-08,Waybill supports partial load arrival and delivery states,PartialLifecycle,W1-P2C01-002;W1-P2C01-015;W1-P2C01-017;W1-P2C01-020,W2-P2C01-019;W2-P2C01-023;W2-P2C01-028,W3-P2C01-022;W3-P2C01-028;W3-P2C01-031,UAT-P2C01-013;UAT-P2C01-024,KARRASA-WAYBILL-V1.1,READY_FOR_REVIEW
BR-SHP-018,P2-C01-WAYBILL-SHIPPING-2026-08,Accepted movement event is append-only,Movement,W1-P2C01-015,W2-P2C01-019;W2-P2C01-022;W2-P2C01-023,W3-P2C01-013;W3-P2C01-014,UAT-P2C01-015;UAT-P2C01-016;UAT-P2C01-031,KARRASA-WAYBILL-V1.1,READY_FOR_REVIEW
BR-SHP-019,P2-C01-WAYBILL-SHIPPING-2026-08,Movement correction uses reversal or correction event not update or delete,Movement,W1-P2C01-015,W2-P2C01-017;W2-P2C01-030,W3-P2C01-013;W3-P2C01-014;W3-P2C01-035,UAT-P2C01-032,KARRASA-WAYBILL-V1.1,READY_FOR_REVIEW
BR-SHP-020,P2-C01-WAYBILL-SHIPPING-2026-08,Partial arrival never marks full waybill arrival,Arrival,W1-P2C01-016;W1-P2C01-017;W1-P2C01-015,W2-P2C01-022;W2-P2C01-023,W3-P2C01-028;W3-P2C01-029,UAT-P2C01-013,KARRASA-WAYBILL-V1.1,READY_FOR_REVIEW
BR-SHP-021,P2-C01-WAYBILL-SHIPPING-2026-08,Driver and vehicle accruals derive from actual trip or manifest execution,Commission,W1-P2C01-013;W1-P2C01-014;W1-P2C01-022;W1-P2C01-027,W2-P2C01-031;W2-P2C01-032,W3-P2C01-040,UAT-P2C01-022,KARRASA-WAYBILL-V1.1,READY_FOR_REVIEW
BR-SHP-022,P2-C01-WAYBILL-SHIPPING-2026-08,Commission uses one trigger and rule snapshot to prevent duplication,Commission,W1-P2C01-022,W2-P2C01-031,W3-P2C01-040,UAT-P2C01-023,KARRASA-WAYBILL-V1.1,READY_FOR_REVIEW
BR-SHP-023,P2-C01-WAYBILL-SHIPPING-2026-08,Redispatch across trips does not create new waybill transport revenue,Finance,W1-P2C01-023;W1-P2C01-027,W2-P2C01-024;W2-P2C01-032,W3-P2C01-027;W3-P2C01-040,UAT-P2C01-014,KARRASA-WAYBILL-V1.1,READY_FOR_REVIEW
BR-SHP-024,P2-C01-WAYBILL-SHIPPING-2026-08,Operational delivery does not imply financial close,Finance,W1-P2C01-002;W1-P2C01-019;W1-P2C01-023,W2-P2C01-028;W2-P2C01-033,W3-P2C01-031;W3-P2C01-042,UAT-P2C01-026,KARRASA-WAYBILL-V1.1,READY_FOR_REVIEW
BR-SHP-025,P2-C01-WAYBILL-SHIPPING-2026-08,Financial close requires zero remaining and closed accountabilities and settlements,Finance,W1-P2C01-002;W1-P2C01-008;W1-P2C01-023;W1-P2C01-027,W2-P2C01-033,W3-P2C01-042,UAT-P2C01-027;UAT-P2C01-028,KARRASA-WAYBILL-V1.1,READY_FOR_REVIEW
BR-SHP-026,P2-C01-WAYBILL-SHIPPING-2026-08,Financial reopen requires privileged permission reason and audit,Finance,W1-P2C01-002;W1-P2C01-023,W2-P2C01-034,W3-P2C01-043,UAT-P2C01-029,KARRASA-WAYBILL-V1.1,READY_FOR_REVIEW
BR-SHP-027,P2-C01-WAYBILL-SHIPPING-2026-08,Post-approval financial changes require authority and before after reason audit,Audit,W1-P2C01-002;W1-P2C01-007;W1-P2C01-008;W1-P2C01-023,W2-P2C01-002;W2-P2C01-011;W2-P2C01-013,W3-P2C01-005;W3-P2C01-007;W3-P2C01-041,UAT-P2C01-020,KARRASA-WAYBILL-V1.1,READY_FOR_REVIEW
BR-SHP-028,P2-C01-WAYBILL-SHIPPING-2026-08,POD and partial delivery bind to actual items and quantities,Delivery,W1-P2C01-006;W1-P2C01-019;W1-P2C01-020,W2-P2C01-028;W2-P2C01-029,W3-P2C01-031;W3-P2C01-032,UAT-P2C01-024;UAT-P2C01-025,KARRASA-WAYBILL-V1.1,READY_FOR_REVIEW
BR-SHP-029,P2-C01-WAYBILL-SHIPPING-2026-08,Delivery quantity cannot exceed local available balance,Delivery,W1-P2C01-018;W1-P2C01-020,W2-P2C01-028,W3-P2C01-031,UAT-P2C01-024,KARRASA-WAYBILL-V1.1,READY_FOR_REVIEW
BR-SHP-030,P2-C01-WAYBILL-SHIPPING-2026-08,Driver or agent collection remains accountability until remittance and settlement,Collections,W1-P2C01-008;W1-P2C01-023,W2-P2C01-012;W2-P2C01-033,W3-P2C01-007;W3-P2C01-041;W3-P2C01-042,UAT-P2C01-021;UAT-P2C01-028,KARRASA-WAYBILL-V1.1,READY_FOR_REVIEW
BR-SHP-031,P2-C01-WAYBILL-SHIPPING-2026-08,Offline may create drafts or authorized queued events but not publish official numbering,Offline,W1-P2C01-002;W1-P2C01-015;W1-P2C01-024,W2-P2C01-001;W2-P2C01-002;W2-P2C01-007,W3-P2C01-001;W3-P2C01-010,UAT-P2C01-030,KARRASA-WAYBILL-V1.1,READY_FOR_REVIEW
BR-SHP-032,P2-C01-WAYBILL-SHIPPING-2026-08,Sensitive retryable operations carry stable client operation identity,Idempotency,W1-P2C01-008;W1-P2C01-015;W1-P2C01-019;W1-P2C01-024,W2-P2C01-007;W2-P2C01-012;W2-P2C01-019;W2-P2C01-022;W2-P2C01-028,W3-P2C01-007;W3-P2C01-022;W3-P2C01-029;W3-P2C01-031,UAT-P2C01-003;UAT-P2C01-031,KARRASA-WAYBILL-V1.1,READY_FOR_REVIEW
BR-SHP-033,P2-C01-WAYBILL-SHIPPING-2026-08,Attachments keep storage reference hash uploader and audit metadata,Attachments,W1-P2C01-006,W2-P2C01-010;W2-P2C01-029,W3-P2C01-009;W3-P2C01-032,UAT-P2C01-025;UAT-P2C01-032,KARRASA-WAYBILL-V1.1,READY_FOR_REVIEW
BR-SHP-034,P2-C01-WAYBILL-SHIPPING-2026-08,Active hold blocks configured actions by hold type,Controls,W1-P2C01-026,W2-P2C01-025;W2-P2C01-026,W3-P2C01-038;W3-P2C01-039,UAT-P2C01-010,KARRASA-WAYBILL-V1.1,READY_FOR_REVIEW
BR-SHP-035,P2-C01-WAYBILL-SHIPPING-2026-08,Redirect retains previous route and appends new route history,Controls,W1-P2C01-002;W1-P2C01-015,W2-P2C01-027,W3-P2C01-037,UAT-P2C01-033,KARRASA-WAYBILL-V1.1,READY_FOR_REVIEW
BR-SHP-036,P2-C01-WAYBILL-SHIPPING-2026-08,Loss damage and shortage are recorded as exceptions with evidence and quantity,Exceptions,W1-P2C01-025;W1-P2C01-006;W1-P2C01-015,W2-P2C01-030,W3-P2C01-035;W3-P2C01-036,UAT-P2C01-032,KARRASA-WAYBILL-V1.1,READY_FOR_REVIEW
BR-SHP-037,P2-C01-WAYBILL-SHIPPING-2026-08,Discount cannot exceed caller authority,Pricing,W1-P2C01-002;W1-P2C01-007,W2-P2C01-002;W2-P2C01-011,W3-P2C01-005,UAT-P2C01-007,KARRASA-WAYBILL-V1.1,READY_FOR_REVIEW
BR-SHP-038,P2-C01-WAYBILL-SHIPPING-2026-08,Exchange-rate change after approval requires controlled authority and correction,Finance,W1-P2C01-002;W1-P2C01-023,W2-P2C01-002;W2-P2C01-013,W3-P2C01-001;W3-P2C01-041,UAT-P2C01-020,KARRASA-WAYBILL-V1.1,READY_FOR_REVIEW
BR-SHP-039,P2-C01-WAYBILL-SHIPPING-2026-08,Reports derive from movement and collection ledgers not unexplained summaries,Reporting,W1-P2C01-008;W1-P2C01-015,W2-P2C01-035;W2-P2C01-036;W2-P2C01-012;W2-P2C01-013,W3-P2C01-013;W3-P2C01-014;W3-P2C01-008;W3-P2C01-041,UAT-P2C01-015;UAT-P2C01-016;UAT-P2C01-034,KARRASA-WAYBILL-V1.1,READY_FOR_REVIEW
BR-SHP-040,P2-C01-WAYBILL-SHIPPING-2026-08,Movement and financial reports support drilldown to source record,Reporting,W1-P2C01-008;W1-P2C01-015;W1-P2C01-023,W2-P2C01-035;W2-P2C01-036,W3-P2C01-013;W3-P2C01-014;W3-P2C01-041,UAT-P2C01-035,KARRASA-WAYBILL-V1.1,READY_FOR_REVIEW
