Action_ID,Release_ID,Domain,Action_Arabic,Action_Code,HTTP_Verb,Route,Request_DTO,Response_DTO,Required_Permission,Scope,State_Preconditions,State_Transition,Error_Codes,Idempotency,Concurrency,Audit,Offline_Policy,W1_Contract_ID,Test_ID,Evidence_ID,Owner,Reviewer,Status,Closure_Reason
W2-P2C01-015,P2-C01-WAYBILL-SHIPPING-2026-08,Transport,إنشاء الرحلة,CreateTrip,POST,/api/v1/trips,CreateTripRequest,TripResponse,trip.create,company/branch,origin destination driver vehicle references valid,Trip DRAFT,VALIDATION_ERROR|SCOPE_DENIED|DUPLICATE_TRIP_NO,ClientOperationId,RowVersion,trip creation and assignments audited,ONLINE_REQUIRED,W1-P2C01-010;W1-P2C01-011,T-P2C01-W2-015,EVID-P2C01-W2-015,TransportERP Product Owner,Independent Architecture Review,READY_FOR_REVIEW,Vehicle and driver may be references to future Fleet domain
W2-P2C01-016,P2-C01-WAYBILL-SHIPPING-2026-08,Shipping,تخصيص كمية لرحلة,AllocateItemToTrip,POST,/api/v1/trips/{tripId}/allocations,AllocateItemRequest,AllocationResponse,waybill.allocate,company/branch,release active; trip open; quantity <= released remaining,allocation ALLOCATED,NOT_FOUND|INVALID_STATE|QUANTITY_EXCEEDS_RELEASED|ROUTE_INCOMPATIBLE|HOLD_BLOCKED,ClientOperationId,serialized quantity and trip version,allocation quantity trip actor audited,ONLINE_REQUIRED,W1-P2C01-009;W1-P2C01-010;W1-P2C01-012,T-P2C01-W2-016,EVID-P2C01-W2-016,TransportERP Product Owner,Independent Architecture Review,READY_FOR_REVIEW,One item can be split across trips
W2-P2C01-017,P2-C01-WAYBILL-SHIPPING-2026-08,Shipping,فك تخصيص من الرحلة,UnallocateItemFromTrip,POST,/api/v1/allocations/{allocationId}:reverse,UnallocateRequest,AllocationResponse,waybill.unallocate,company/branch,allocation exists and loaded net is zero or policy permits residual reversal,allocation reversal appended,NOT_FOUND|ALREADY_LOADED|INVALID_STATE|REASON_REQUIRED,ClientOperationId,serialized allocation state,reversal reason audited,ONLINE_REQUIRED,W1-P2C01-012,T-P2C01-W2-017,EVID-P2C01-W2-017,TransportERP Product Owner,Independent Architecture Review,READY_FOR_REVIEW,Does not alter loaded movement history
W2-P2C01-018,P2-C01-WAYBILL-SHIPPING-2026-08,Transport,إنشاء كشف الحمولة,GenerateManifest,POST,/api/v1/trips/{tripId}/manifests,GenerateManifestRequest,ManifestResponse,manifest.create,company/branch,Trip DRAFT/READY and allocations available,Manifest DRAFT,NOT_FOUND|INVALID_STATE|NO_ALLOCATIONS,ClientOperationId,Trip RowVersion,manifest source allocations audited,ONLINE_REQUIRED,W1-P2C01-010;W1-P2C01-012;W1-P2C01-013;W1-P2C01-014,T-P2C01-W2-018,EVID-P2C01-W2-018,TransportERP Product Owner,Independent Architecture Review,READY_FOR_REVIEW,Manifest line is the basis for actual load
W2-P2C01-019,P2-C01-WAYBILL-SHIPPING-2026-08,Transport,تحميل كمية على الرحلة,LoadAllocatedQuantity,POST,/api/v1/manifests/{manifestId}/lines/{lineId}:load,LoadManifestLineRequest,ManifestLineResponse,manifest.load,company/branch,allocation active; quantity <= allocation remaining; manifest open,loaded quantity appended and movement LOAD created,NOT_FOUND|INVALID_STATE|QUANTITY_EXCEEDS_ALLOCATION|RESOURCE_CONSTRAINT|HOLD_BLOCKED,ClientOperationId,serialized quantity check,load item quantity user time audited,OFFLINE_QUEUE_ALLOWED_SERVER_ACCEPTED,W1-P2C01-012;W1-P2C01-014;W1-P2C01-015,T-P2C01-W2-019,EVID-P2C01-W2-019,TransportERP Product Owner,Independent Architecture Review,READY_FOR_REVIEW,Cold or hazardous items may require resource validation
W2-P2C01-020,P2-C01-WAYBILL-SHIPPING-2026-08,Transport,تسليم عهدة الحمولة للسائق,HandoverManifestToDriver,POST,/api/v1/manifests/{manifestId}:handover,HandoverManifestRequest,ManifestResponse,manifest.handover,company/branch,manifest finalized and driver assigned,FINALIZED->HANDED_OVER/ACCEPTED,NOT_FOUND|INVALID_STATE|DRIVER_MISMATCH,ClientOperationId,Manifest RowVersion,driver handover acceptance time audited,ONLINE_REQUIRED,W1-P2C01-013;W1-P2C01-010,T-P2C01-W2-020,EVID-P2C01-W2-020,TransportERP Product Owner,Independent Architecture Review,READY_FOR_REVIEW,Driver custody starts from accepted manifest
W2-P2C01-021,P2-C01-WAYBILL-SHIPPING-2026-08,Transport,انطلاق الرحلة,StartTrip,POST,/api/v1/trips/{tripId}:start,StartTripRequest,TripResponse,trip.start,company/branch,manifest accepted; trip READY,READY->DEPARTED,NOT_FOUND|INVALID_STATE|MANIFEST_NOT_ACCEPTED,ClientOperationId,Trip RowVersion,start actor actual time audited,ONLINE_REQUIRED,W1-P2C01-010;W1-P2C01-013;W1-P2C01-015,T-P2C01-W2-021,EVID-P2C01-W2-021,TransportERP Product Owner,Independent Architecture Review,READY_FOR_REVIEW,Creates DEPART movement context without new revenue
W2-P2C01-022,P2-C01-WAYBILL-SHIPPING-2026-08,Arrival,تسجيل وصول الرحلة أو المحطة,RecordArrival,POST,/api/v1/trips/{tripId}/arrivals,RecordArrivalRequest,ArrivalReceiptResponse,arrival.record,company/receiving-branch,Trip departed and destination/stop valid,arrival receipt created; trip/stop arrived partial/full,NOT_FOUND|INVALID_STATE|LOCATION_INVALID|DUPLICATE_OPERATION,ClientOperationId,Trip/receipt version,actual arrival user location audited,OFFLINE_QUEUE_ALLOWED_SERVER_ACCEPTED,W1-P2C01-010;W1-P2C01-011;W1-P2C01-016;W1-P2C01-017;W1-P2C01-015,T-P2C01-W2-022,EVID-P2C01-W2-022,TransportERP Product Owner,Independent Architecture Review,READY_FOR_REVIEW,Expected versus actual quantities recorded per line
W2-P2C01-023,P2-C01-WAYBILL-SHIPPING-2026-08,Arrival,تفريغ جزئي أو كامل,RecordUnload,POST,/api/v1/arrivals/{arrivalId}/lines:unload,RecordUnloadRequest,ArrivalReceiptResponse,arrival.unload,company/receiving-branch,arrival open; actual qty <= in-transit qty,ARRIVE/UNLOAD movement appended; warehouse holding updated,NOT_FOUND|QUANTITY_EXCEEDS_IN_TRANSIT|INVALID_STATE,ClientOperationId,serialized quantity check,expected actual differences evidence audited,OFFLINE_QUEUE_ALLOWED_SERVER_ACCEPTED,W1-P2C01-014;W1-P2C01-015;W1-P2C01-017;W1-P2C01-018,T-P2C01-W2-023,EVID-P2C01-W2-023,TransportERP Product Owner,Independent Architecture Review,READY_FOR_REVIEW,Partial arrival remains partial until all required quantities arrive
W2-P2C01-024,P2-C01-WAYBILL-SHIPPING-2026-08,Shipping,إعادة ترحيل كمية من محطة,ReallocateTransitQuantity,POST,/api/v1/holdings/{holdingId}:allocate,ReallocateTransitRequest,AllocationResponse,waybill.reallocate,company/branch,holding AVAILABLE at transit location; next trip compatible,new allocation for available quantity,NOT_FOUND|QUANTITY_EXCEEDS_AVAILABLE|ROUTE_INCOMPATIBLE|HOLD_BLOCKED,ClientOperationId,serialized holding balance,reallocation from/to trip location audited,ONLINE_REQUIRED,W1-P2C01-018;W1-P2C01-012;W1-P2C01-015,T-P2C01-W2-024,EVID-P2C01-W2-024,TransportERP Product Owner,Independent Architecture Review,READY_FOR_REVIEW,Previous trip history remains intact
W2-P2C01-025,P2-C01-WAYBILL-SHIPPING-2026-08,Controls,حجز البوليصة,HoldWaybill,POST,/api/v1/waybills/{waybillId}/holds,HoldWaybillRequest,WaybillHoldResponse,waybill.hold,company/branch,Waybill not cancelled; hold type allowed,Hold ACTIVE and configured actions blocked,NOT_FOUND|INVALID_STATE|REASON_REQUIRED,ClientOperationId,Waybill RowVersion,hold type reason actor audited,ONLINE_REQUIRED,W1-P2C01-026,T-P2C01-W2-025,EVID-P2C01-W2-025,TransportERP Product Owner,Independent Architecture Review,READY_FOR_REVIEW,Hold policy determines blocked actions
W2-P2C01-026,P2-C01-WAYBILL-SHIPPING-2026-08,Controls,تحرير البوليصة من الحجز,ReleaseWaybillHold,POST,/api/v1/holds/{holdId}:release,ReleaseHoldRequest,WaybillHoldResponse,waybill.hold.release,company/branch,active hold exists,ACTIVE->RELEASED,NOT_FOUND|INVALID_STATE|REASON_REQUIRED,ClientOperationId,Hold RowVersion,release actor reason audited,ONLINE_REQUIRED,W1-P2C01-026,T-P2C01-W2-026,EVID-P2C01-W2-026,TransportERP Product Owner,Independent Architecture Review,READY_FOR_REVIEW,Does not remove historical hold
W2-P2C01-027,P2-C01-WAYBILL-SHIPPING-2026-08,Controls,إعادة توجيه البوليصة,RedirectWaybill,POST,/api/v1/waybills/{waybillId}:redirect,RedirectWaybillRequest,WaybillResponse,waybill.redirect,company/branch,Waybill active and undelivered quantities exist; destination valid,destination plan changes and REDIRECT movement appended,NOT_FOUND|INVALID_STATE|NO_REMAINING_QUANTITY|DESTINATION_INVALID|REASON_REQUIRED,ClientOperationId,Waybill RowVersion,old/new destination reason actor audited,ONLINE_REQUIRED,W1-P2C01-002;W1-P2C01-015,T-P2C01-W2-027,EVID-P2C01-W2-027,TransportERP Product Owner,Independent Architecture Review,READY_FOR_REVIEW,Old route is never erased
W2-P2C01-028,P2-C01-WAYBILL-SHIPPING-2026-08,Delivery,تسجيل تسليم كلي أو جزئي,DeliverQuantity,POST,/api/v1/waybills/{waybillId}/deliveries,DeliverWaybillRequest,DeliveryResponse,waybill.deliver,company/delivery-branch,quantity available at delivery location; recipient policy satisfied,Delivery PARTIAL/COMPLETED and DELIVER movement appended,NOT_FOUND|QUANTITY_EXCEEDS_AVAILABLE|IDENTITY_REQUIRED|POD_REQUIRED|HOLD_BLOCKED,ClientOperationId,serialized location balance and Waybill version,recipient quantity time location collector audited,OFFLINE_CAPTURE_SYNC_ALLOWED,W1-P2C01-018;W1-P2C01-019;W1-P2C01-020;W1-P2C01-015,T-P2C01-W2-028,EVID-P2C01-W2-028,TransportERP Product Owner,Independent Architecture Review,READY_FOR_REVIEW,Operational completion does not imply financial close
W2-P2C01-029,P2-C01-WAYBILL-SHIPPING-2026-08,Delivery,حفظ إثبات التسليم,RecordProofOfDelivery,POST,/api/v1/deliveries/{deliveryId}/proof,RecordPodRequest,DeliveryResponse,waybill.pod.capture,company/delivery-branch,delivery exists; required proof components present,POD linked to delivery,POD_REQUIRED|IDENTITY_REQUIRED|ATTACHMENT_INVALID|SCOPE_DENIED,ClientOperationId,Delivery RowVersion,proof type attachment hashes viewer access audited,OFFLINE_CAPTURE_SYNC_ALLOWED,W1-P2C01-006;W1-P2C01-019,T-P2C01-W2-029,EVID-P2C01-W2-029,TransportERP Product Owner,Independent Architecture Review,READY_FOR_REVIEW,Sensitive proof access controlled separately
W2-P2C01-030,P2-C01-WAYBILL-SHIPPING-2026-08,Exceptions,فتح مطالبة أو استثناء,CreateShipmentException,POST,/api/v1/waybills/{waybillId}/exceptions,CreateExceptionRequest,ShipmentExceptionResponse,waybill.exception.create,company/branch,Waybill active; exception qty valid,Exception OPEN,NOT_FOUND|QUANTITY_INVALID|EVIDENCE_REQUIRED|SCOPE_DENIED,ClientOperationId,RowVersion,exception type quantity location trip evidence audited,OFFLINE_QUEUE_ALLOWED_SERVER_ACCEPTED,W1-P2C01-025;W1-P2C01-006,T-P2C01-W2-030,EVID-P2C01-W2-030,TransportERP Product Owner,Independent Architecture Review,READY_FOR_REVIEW,Loss damage shortage do not erase movement history
W2-P2C01-031,P2-C01-WAYBILL-SHIPPING-2026-08,Commissions,احتساب استحقاقات الرحلة,CalculateTripAccruals,POST,/api/v1/trips/{tripId}:calculate-accruals,CalculateTripAccrualsRequest,TripAccrualsResponse,trip.commission.calculate,company/branch,Trip manifest execution exists and rule configuration active,CommissionAccrual rows created with RuleSnapshot,RULE_NOT_FOUND|INVALID_STATE|DUPLICATE_ACCRUAL,ClientOperationId,Trip settlement version,rule code snapshot base amount beneficiary audited,ONLINE_REQUIRED,W1-P2C01-013;W1-P2C01-014;W1-P2C01-022,T-P2C01-W2-031,EVID-P2C01-W2-031,TransportERP Product Owner,Independent Architecture Review,READY_FOR_REVIEW,Driver and vehicle basis is actual manifest execution
W2-P2C01-032,P2-C01-WAYBILL-SHIPPING-2026-08,Finance,تسوية الرحلة,SettleTrip,POST,/api/v1/trips/{tripId}:settle,SettleTripRequest,TripSettlementResponse,trip.settle,company/branch,Trip closed; accruals approved; accounting period open,DRAFT/APPROVED->POSTED with P1 financial link,INVALID_STATE|PERIOD_CLOSED|ACCRUALS_OPEN|IDEMPOTENCY_CONFLICT,Idempotency-Key required,TripSettlement RowVersion,settlement totals journal ref actor audited,ONLINE_REQUIRED,W1-P2C01-022;W1-P2C01-027;W1-P2C01-023,T-P2C01-W2-032,EVID-P2C01-W2-032,TransportERP Product Owner,Independent Architecture Review,READY_FOR_REVIEW,No new waybill revenue is created by trip settlement
W2-P2C01-033,P2-C01-WAYBILL-SHIPPING-2026-08,Finance,الإغلاق المالي للبوليصة,FinancialCloseWaybill,POST,/api/v1/waybills/{waybillId}:financial-close,FinancialCloseRequest,WaybillResponse,waybill.financial.close,company/branch,AmountRemaining=0; related accountabilities and settlements closed; no blocking exception,FinancialStatus->FINANCIALLY_CLOSED,NOT_FOUND|BALANCE_REMAINING|ACCOUNTABILITY_OPEN|SETTLEMENT_OPEN|EXCEPTION_BLOCKED|INVALID_STATE,Idempotency-Key required,Waybill RowVersion,precondition snapshot actor time audited,ONLINE_REQUIRED,W1-P2C01-002;W1-P2C01-008;W1-P2C01-023,T-P2C01-W2-033,EVID-P2C01-W2-033,TransportERP Product Owner,Independent Architecture Review,READY_FOR_REVIEW,Delivery alone is insufficient for financial close
W2-P2C01-034,P2-C01-WAYBILL-SHIPPING-2026-08,Finance,إعادة فتح الإغلاق المالي,FinancialReopenWaybill,POST,/api/v1/waybills/{waybillId}:financial-reopen,FinancialReopenRequest,WaybillResponse,waybill.financial.reopen,company/branch,FinancialStatus FINANCIALLY_CLOSED; privileged permission; reason present,FINANCIALLY_CLOSED->PAID/appropriate derived state,NOT_FOUND|INVALID_STATE|PERMISSION_DENIED|REASON_REQUIRED,ClientOperationId,Waybill RowVersion,before/after reason approver audited,ONLINE_REQUIRED,W1-P2C01-002;W1-P2C01-023,T-P2C01-W2-034,EVID-P2C01-W2-034,TransportERP Product Owner,Independent Architecture Review,READY_FOR_REVIEW,Controlled exception only
W2-P2C01-035,P2-C01-WAYBILL-SHIPPING-2026-08,Tracking,استعلام حركة البوليصة,GetWaybillMovement,GET,/api/v1/waybills/{waybillId}/movement,MovementQueryRequest,WaybillMovementResponse,waybill.movement.view,company/branch,Waybill visible,no transition,NOT_FOUND|SCOPE_DENIED|INVALID_FILTER,GET safe retry,n/a,read of sensitive trail may be audited,ONLINE_REQUIRED,W1-P2C01-015,T-P2C01-W2-035,EVID-P2C01-W2-035,TransportERP Product Owner,Independent Architecture Review,READY_FOR_REVIEW,Timeline across all trips and locations
W2-P2C01-036,P2-C01-WAYBILL-SHIPPING-2026-08,Tracking,استعلام حركة الصنف,GetItemMovement,GET,/api/v1/waybills/{waybillId}/items/{itemId}/movement,MovementQueryRequest,ItemMovementResponse,waybill.item.movement.view,company/branch,Waybill and item visible,no transition,NOT_FOUND|SCOPE_DENIED|INVALID_FILTER,GET safe retry,n/a,read trail audited as configured,ONLINE_REQUIRED,W1-P2C01-004;W1-P2C01-015,T-P2C01-W2-036,EVID-P2C01-W2-036,TransportERP Product Owner,Independent Architecture Review,READY_FOR_REVIEW,Returns original released allocated loaded arrived delivered remaining
