W1_Contract_ID,Release_ID,Domain,Entity_Arabic,Entity_Code,Physical_Status,Columns_Spec,Primary_Key,Foreign_Keys,Indexes_Unique,Tenant_Company_Branch_Scope,Concurrency,Audit,Lifecycle,Migration,Authority_ID,Source_Ref,Test_ID,Evidence_ID,Owner,Reviewer,Status,Closure_Reason
W1-P2C01-011,P2-C01-WAYBILL-SHIPPING-2026-08,Transport,محطة الرحلة,TripStop,CONTRACT_ONLY,Id:uuid;TripId:uuid;StopNo:int;LocationId:uuid;StopType:enum;PlannedAt:datetime?;ArrivedAt:datetime?;DepartedAt:datetime?;Status:enum,Id,TripId->Trip;LocationId->Geo,UX(TripId StopNo);IX(LocationId Status),inherits Trip scope,Trip RowVersion,arrival/departure audited,PLANNED->ARRIVED->DEPARTED/SKIPPED,New P2 child table,P2-C01-OWNER-20260820,KARRASA-WAYBILL-V1.1,T-P2C01-W1-011,EVID-P2C01-W1-011,TransportERP Product Owner,Independent Architecture Review,READY_FOR_REVIEW,Supports multi-stop transit
W1-P2C01-012,P2-C01-WAYBILL-SHIPPING-2026-08,Shipping,تخصيص صنف لرحلة,TripAllocation,CONTRACT_ONLY,Id:uuid;WaybillItemId:uuid;ReleaseId:uuid;TripId:uuid;Quantity:decimal;AllocatedAt:datetime;Status:enum;ReversalOfId:uuid?,Id,WaybillItemId->WaybillItem;ReleaseId->ItemRelease;TripId->Trip,IX(WaybillItemId Status);IX(TripId Status),inherits Waybill and Trip compatible company,serialized quantity check,allocate/unallocate audited,ALLOCATED->LOADED/REVERSED,New P2 quantity ledger,P2-C01-OWNER-20260820,KARRASA-WAYBILL-V1.1,T-P2C01-W1-012,EVID-P2C01-W1-012,TransportERP Product Owner,Independent Architecture Review,READY_FOR_REVIEW,Allocation net cannot exceed released remaining
W1-P2C01-013,P2-C01-WAYBILL-SHIPPING-2026-08,Transport,كشف الحمولة,Manifest,CONTRACT_ONLY,Id:uuid;TripId:uuid;ManifestNo:string;CreatedAt:datetime;HandoverAt:datetime?;DriverAcceptedAt:datetime?;Status:enum;RowVersion:bytes,Id,TripId->Trip,UX(TripId ManifestNo);IX(Status),inherits Trip scope,RowVersion,create/finalize/handover/accept audited,DRAFT->FINALIZED->HANDED_OVER->ACCEPTED->CLOSED,New P2 table,P2-C01-OWNER-20260820,KARRASA-WAYBILL-V1.1,T-P2C01-W1-013,EVID-P2C01-W1-013,TransportERP Product Owner,Independent Architecture Review,READY_FOR_REVIEW,Manifest is source for actual trip load and commissions
W1-P2C01-014,P2-C01-WAYBILL-SHIPPING-2026-08,Transport,سطر كشف الحمولة,ManifestLine,CONTRACT_ONLY,Id:uuid;ManifestId:uuid;AllocationId:uuid;WaybillId:uuid;WaybillItemId:uuid;Quantity:decimal;Weight:decimal?;Volume:decimal?;LoadStatus:enum,Id,ManifestId->Manifest;AllocationId->TripAllocation;WaybillId->Waybill;WaybillItemId->WaybillItem,IX(ManifestId);IX(WaybillId),inherits Manifest scope,manifest RowVersion and quantity check,line add/load/unload audited,PLANNED->LOADED->UNLOADED/CANCELLED,New P2 child table,P2-C01-OWNER-20260820,KARRASA-WAYBILL-V1.1,T-P2C01-W1-014,EVID-P2C01-W1-014,TransportERP Product Owner,Independent Architecture Review,READY_FOR_REVIEW,Loaded quantity cannot exceed allocation remaining
W1-P2C01-015,P2-C01-WAYBILL-SHIPPING-2026-08,Tracking,سجل الحركة,MovementEvent,CONTRACT_ONLY,Id:uuid;WaybillId:uuid;WaybillItemId:uuid?;PackageId:uuid?;EventType:enum;Quantity:decimal?;TripId:uuid?;ManifestId:uuid?;FromLocationId:uuid?;ToLocationId:uuid?;OccurredAt:datetime;RecordedAt:datetime;RecordedBy:uuid;ReasonCode:string?;ReversesEventId:uuid?;ClientOperationId:string?,Id,WaybillId->Waybill;WaybillItemId->WaybillItem;PackageId->WaybillPackage;TripId->Trip;ManifestId->Manifest;ReversesEventId->MovementEvent,UX(CompanyId ClientOperationId where not null);IX(WaybillId OccurredAt);IX(WaybillItemId OccurredAt),inherits Waybill scope,append-only;no update/delete,append and reversal audited by hash/correlation,APPEND_ONLY,New P2 append-only table inspired by P1 Audit pattern,P2-C01-OWNER-20260820,KARRASA-WAYBILL-V1.1,T-P2C01-W1-015,EVID-P2C01-W1-015,TransportERP Product Owner,Independent Architecture Review,READY_FOR_REVIEW,State must be reconstructable from ledger events
W1-P2C01-016,P2-C01-WAYBILL-SHIPPING-2026-08,Arrival,استلام الوصول,ArrivalReceipt,CONTRACT_ONLY,Id:uuid;TripId:uuid;ManifestId:uuid;LocationId:uuid;ReceivedAt:datetime;ReceivedBy:uuid;Status:enum;RowVersion:bytes,Id,TripId->Trip;ManifestId->Manifest;LocationId->Geo,IX(TripId LocationId);IX(Status),receiving branch/location scope,RowVersion,receipt open/finalize audited,DRAFT->FINALIZED,New P2 table,P2-C01-OWNER-20260820,KARRASA-WAYBILL-V1.1,T-P2C01-W1-016,EVID-P2C01-W1-016,TransportERP Product Owner,Independent Architecture Review,READY_FOR_REVIEW,Supports transit and destination receipts
W1-P2C01-017,P2-C01-WAYBILL-SHIPPING-2026-08,Arrival,تفاصيل الوصول,ArrivalReceiptLine,CONTRACT_ONLY,Id:uuid;ArrivalReceiptId:uuid;ManifestLineId:uuid;WaybillItemId:uuid;ExpectedQty:decimal;ActualQty:decimal;DifferenceType:enum;DamageQty:decimal;Notes:text?,Id,ArrivalReceiptId->ArrivalReceipt;ManifestLineId->ManifestLine;WaybillItemId->WaybillItem,IX(ArrivalReceiptId);IX(WaybillItemId DifferenceType),inherits receipt scope,receipt RowVersion,expected/actual/difference evidence audited,RECORDED->FINALIZED,New P2 child table,P2-C01-OWNER-20260820,KARRASA-WAYBILL-V1.1,T-P2C01-W1-017,EVID-P2C01-W1-017,TransportERP Product Owner,Independent Architecture Review,READY_FOR_REVIEW,Partial arrival does not mark full waybill arrival
W1-P2C01-018,P2-C01-WAYBILL-SHIPPING-2026-08,Warehouse,رصيد الترانزيت أو المخزن,WarehouseHolding,CONTRACT_ONLY,Id:uuid;WaybillItemId:uuid;PackageId:uuid?;LocationId:uuid;Quantity:decimal;HoldingType:enum TRANSIT|DESTINATION;Status:enum;UpdatedAt:datetime;RowVersion:bytes,Id,WaybillItemId->WaybillItem;PackageId->WaybillPackage;LocationId->Geo,IX(LocationId Status);IX(WaybillItemId),location and branch scope,RowVersion;balance change serialized,receive/release/adjust controlled events,AVAILABLE->RESERVED->RELEASED/EXCEPTION,New P2 projection/balance table after W1 physical review,P2-C01-OWNER-20260820,KARRASA-WAYBILL-V1.1,T-P2C01-W1-018,EVID-P2C01-W1-018,TransportERP Product Owner,Independent Architecture Review,READY_FOR_REVIEW,Authoritative movements remain MovementEvent ledger
W1-P2C01-019,P2-C01-WAYBILL-SHIPPING-2026-08,Delivery,عملية التسليم,Delivery,CONTRACT_ONLY,Id:uuid;WaybillId:uuid;LocationId:uuid;RecipientName:string;IdentityType:string?;IdentityNo:string?;DeliveredAt:datetime;DeliveredBy:uuid;ProofType:string;Status:enum;ClientOperationId:string?;RowVersion:bytes,Id,WaybillId->Waybill;LocationId->Geo,UX(CompanyId ClientOperationId where not null);IX(WaybillId Status),delivery location/branch scope,RowVersion;completion idempotent,create/complete/fail audited,DRAFT->PARTIAL/COMPLETED/FAILED,New P2 table,P2-C01-OWNER-20260820,KARRASA-WAYBILL-V1.1,T-P2C01-W1-019,EVID-P2C01-W1-019,TransportERP Product Owner,Independent Architecture Review,READY_FOR_REVIEW,Operational delivery is independent from financial close
W1-P2C01-020,P2-C01-WAYBILL-SHIPPING-2026-08,Delivery,تفاصيل التسليم,DeliveryLine,CONTRACT_ONLY,Id:uuid;DeliveryId:uuid;WaybillItemId:uuid;PackageId:uuid?;Quantity:decimal;Status:enum,Id,DeliveryId->Delivery;WaybillItemId->WaybillItem;PackageId->WaybillPackage,IX(DeliveryId);IX(WaybillItemId),inherits delivery scope,delivery RowVersion,quantity delivery audited,DELIVERED/REVERSED_BY_CONTROLLED_RETURN,New P2 child table,P2-C01-OWNER-20260820,KARRASA-WAYBILL-V1.1,T-P2C01-W1-020,EVID-P2C01-W1-020,TransportERP Product Owner,Independent Architecture Review,READY_FOR_REVIEW,Cannot deliver quantity not available at location
W1-P2C01-021,P2-C01-WAYBILL-SHIPPING-2026-08,Customs,متطلب جمركي,CustomsRequirement,CONTRACT_ONLY,Id:uuid;WaybillId:uuid;WaybillItemId:uuid?;RequirementType:string;OriginCountryId:uuid?;InvoiceNo:string?;DeclaredCustomsValue:decimal?;HsCode:string?;PermitReference:string?;Status:enum;HoldReason:string?;RowVersion:bytes,Id,WaybillId->Waybill;WaybillItemId->WaybillItem;OriginCountryId->Geo,IX(WaybillId Status);IX(WaybillItemId Status),inherits Waybill scope,RowVersion,status/docs changes audited,REQUIRED->DOCUMENTS_PENDING->READY->INSPECTION->RELEASED/HELD/REJECTED,New P2 readiness table; full customs domain later,P2-C01-OWNER-20260820,KARRASA-WAYBILL-V1.1,T-P2C01-W1-021,EVID-P2C01-W1-021,TransportERP Product Owner,Independent Architecture Review,READY_FOR_REVIEW,Waybill stores readiness; full clearance stays CUS boundary
W1-P2C01-022,P2-C01-WAYBILL-SHIPPING-2026-08,Commissions,استحقاق عمولة,CommissionAccrual,CONTRACT_ONLY,Id:uuid;BeneficiaryType:enum DRIVER|VEHICLE_OWNER|AGENT|BRANCH;BeneficiaryId:uuid;SourceType:enum TRIP|MANIFEST|WAYBILL|COLLECTION|DELIVERY;SourceId:uuid;RuleCode:string;RuleSnapshot:json;BaseAmount:decimal;Amount:decimal;CurrencyId:uuid;Status:enum;CreatedAt:datetime;SettledAt:datetime?,Id,CurrencyId->P1 Currency,UX(BeneficiaryType BeneficiaryId SourceType SourceId RuleCode);IX(Status),company scope from source,immutable accrual after creation;settlement version,accrual/settlement/reversal audited,ACCRUED->APPROVED->SETTLED/REVERSED,New P2 table linked to finance,P2-C01-OWNER-20260820,KARRASA-WAYBILL-V1.1,T-P2C01-W1-022,EVID-P2C01-W1-022,TransportERP Product Owner,Independent Architecture Review,READY_FOR_REVIEW,Driver and vehicle commission basis is actual Trip/Manifest not full Waybill
W1-P2C01-023,P2-C01-WAYBILL-SHIPPING-2026-08,Finance,رابط مالي للبوليصة,FinancialLink,CONTRACT_ONLY,Id:uuid;WaybillId:uuid;DocumentType:string;DocumentId:uuid;Amount:decimal;CurrencyId:uuid;LinkType:string;Status:enum;CreatedAt:datetime,Id,WaybillId->Waybill;CurrencyId->P1 Currency,UX(WaybillId DocumentType DocumentId LinkType);IX(DocumentId),inherits Waybill company/branch,append-only link,link/unlink via reversal audited,ACTIVE->REVERSED,New P2 cross-reference table,P2-C01-OWNER-20260820,KARRASA-WAYBILL-V1.1,T-P2C01-W1-023,EVID-P2C01-W1-023,TransportERP Product Owner,Independent Architecture Review,READY_FOR_REVIEW,No duplicate revenue on re-dispatch
W1-P2C01-024,P2-C01-WAYBILL-SHIPPING-2026-08,Numbering,تسلسل وترقيم البوليصة,NumberSequence,CONTRACT_ONLY,Id:uuid;CompanyId:uuid;BranchId:uuid?;DocumentType:string;Prefix:string?;NextValue:ulong;ResetPolicy:string;Status:enum;RowVersion:bytes,Id,CompanyId->P1 Company;BranchId->P1 Branch,UX(CompanyId BranchId DocumentType);IX(Status),company/branch sequence scope,serialized/atomic reservation,sequence reservation and void audited,ACTIVE->INACTIVE,New P2 numbering storage after physical review,P2-C01-OWNER-20260820,KARRASA-WAYBILL-V1.1,T-P2C01-W1-024,EVID-P2C01-W1-024,TransportERP Product Owner,Independent Architecture Review,READY_FOR_REVIEW,Official number issued only after approval commit
W1-P2C01-025,P2-C01-WAYBILL-SHIPPING-2026-08,Exceptions,استثناء أو مطالبة شحنة,ShipmentException,CONTRACT_ONLY,Id:uuid;WaybillId:uuid;WaybillItemId:uuid?;PackageId:uuid?;ExceptionType:enum SHORTAGE|DAMAGE|LOSS|DELAY|OTHER;Quantity:decimal?;LocationId:uuid?;TripId:uuid?;OpenedAt:datetime;OpenedBy:uuid;Status:enum;EvidenceAttachmentId:uuid?;Resolution:text?;RowVersion:bytes,Id,WaybillId->Waybill;WaybillItemId->WaybillItem;PackageId->WaybillPackage;TripId->Trip;EvidenceAttachmentId->WaybillAttachment,IX(WaybillId Status);IX(ExceptionType Status),inherits Waybill scope,RowVersion,open/update/resolve audited,OPEN->INVESTIGATING->RESOLVED/CLOSED,New P2 table,P2-C01-OWNER-20260820,KARRASA-WAYBILL-V1.1,T-P2C01-W1-025,EVID-P2C01-W1-025,TransportERP Product Owner,Independent Architecture Review,READY_FOR_REVIEW,Exceptions never delete movement history
W1-P2C01-026,P2-C01-WAYBILL-SHIPPING-2026-08,Controls,حجز أو إيقاف البوليصة,WaybillHold,CONTRACT_ONLY,Id:uuid;WaybillId:uuid;HoldType:string;Reason:string;PlacedAt:datetime;PlacedBy:uuid;ReleasedAt:datetime?;ReleasedBy:uuid?;Status:enum;RowVersion:bytes,Id,WaybillId->Waybill,IX(WaybillId Status),inherits Waybill scope,RowVersion,place/release hold audited,ACTIVE->RELEASED,New P2 table,P2-C01-OWNER-20260820,KARRASA-WAYBILL-V1.1,T-P2C01-W1-026,EVID-P2C01-W1-026,TransportERP Product Owner,Independent Architecture Review,READY_FOR_REVIEW,Hold blocks actions according to hold type policy
W1-P2C01-027,P2-C01-WAYBILL-SHIPPING-2026-08,Finance,تسوية الرحلة,TripSettlement,CONTRACT_ONLY,Id:uuid;TripId:uuid;CurrencyId:uuid;RevenueAttributed:decimal;DriverAccrual:decimal;VehicleAccrual:decimal;OtherCost:decimal;Status:enum;PreparedAt:datetime;ApprovedAt:datetime?;PostedReferenceId:uuid?;RowVersion:bytes,Id,TripId->Trip;CurrencyId->P1 Currency;PostedReferenceId->P1 Journal,UX(TripId);IX(Status),inherits Trip scope,RowVersion;post idempotent,prepare/approve/post/reverse audited,DRAFT->APPROVED->POSTED/REVERSED,New P2 table linked to P1 accounting,P2-C01-OWNER-20260820,KARRASA-WAYBILL-V1.1,T-P2C01-W1-027,EVID-P2C01-W1-027,TransportERP Product Owner,Independent Architecture Review,READY_FOR_REVIEW,Trip costs and commissions settle from actual manifest execution
