Screen_ID,Release_ID,Domain,Screen_Arabic,Screen_Code,Device,Role,RTL_Layout,Fields_Contract,States,Action_IDs,W1_Contract_IDs,Permissions,Validation,Empty_Load_Error_States,Offline_Policy,Audit,Accessibility,Reference_Evidence,Test_ID,Owner,Reviewer,Status,Closure_Reason
W3-P2C01-011,P2-C01-WAYBILL-SHIPPING-2026-08,Shipping,إطلاق كميات الأصناف,SHP-015,Desktop,ShippingClerk,REQUIRED,Waybill;Item;OriginalQty;ReleasedNet;RemainingToRelease;ReleaseQty;HoldStatus,Loading->Ready/Empty/Error->Submitting->Released,W2-P2C01-014,W1-P2C01-004;W1-P2C01-009;W1-P2C01-026,waybill.release,ReleaseQty <= RemainingToRelease;approved waybill;hold not blocking,EMPTY: no eligible items;LOAD_ERROR;QUANTITY_EXCEEDS_REMAINING;HOLD_BLOCKED,ONLINE_REQUIRED,release quantity actor time location,RTL quantity grid; remaining always visible,EVID-KARRASA-SHP-015,T-P2C01-W3-011,TransportERP Product Owner,Independent UX/Architecture Review,READY_FOR_REVIEW,No over-release
W3-P2C01-012,P2-C01-WAYBILL-SHIPPING-2026-08,Shipping,توزيع الأصناف على الرحلات,SHP-016,Desktop,ShippingPlanner,REQUIRED,Item;ReleasedRemaining;Trip;Route;AllocateQty;AllocationStatus,Loading->Ready/Empty/Error->Allocating->Allocated/Reversed,W2-P2C01-016;W2-P2C01-017,W1-P2C01-009;W1-P2C01-010;W1-P2C01-012,waybill.allocate;waybill.unallocate,allocation <= released remaining;route compatible,EMPTY: no released quantity;LOAD_ERROR;QUANTITY_EXCEEDS_RELEASED;ROUTE_INCOMPATIBLE,ONLINE_REQUIRED,trip quantity allocation and reversal reason,RTL planner grid; route and remaining visible,EVID-KARRASA-SHP-016,T-P2C01-W3-012,TransportERP Product Owner,Independent UX/Architecture Review,READY_FOR_REVIEW,Same item may split across trips
W3-P2C01-013,P2-C01-WAYBILL-SHIPPING-2026-08,Tracking,حركة الصنف,SHP-017,Desktop,Operations/Auditor,REQUIRED,Waybill;Item;Original;Released;Allocated;Loaded;Arrived;Delivered;Remaining;Timeline;Trips;Locations,Loading->Ready/Empty/Error->Detail,W2-P2C01-036,W1-P2C01-004;W1-P2C01-015,waybill.item.movement.view,scope and filters valid,EMPTY: no movement;LOAD_ERROR;INVALID_FILTER,ONLINE_REQUIRED,read trail access audited by policy,RTL timeline and numeric summary; drilldown source IDs,EVID-KARRASA-SHP-017,T-P2C01-W3-013,TransportERP Product Owner,Independent UX/Architecture Review,READY_FOR_REVIEW,Item movement across multiple trips
W3-P2C01-014,P2-C01-WAYBILL-SHIPPING-2026-08,Tracking,حركة البوليصة,SHP-018,Desktop,Operations/Auditor,REQUIRED,Waybill;OperationalStatus;FinancialStatus;Timeline;EventType;DateTime;Trip;From;To;User;Reason,Loading->Ready/Empty/Error->Detail,W2-P2C01-035,W1-P2C01-002;W1-P2C01-015,waybill.movement.view,scope and filters valid,EMPTY: no movement;LOAD_ERROR;INVALID_FILTER,ONLINE_REQUIRED,read trail access audited by policy,RTL chronological timeline; source drilldown,EVID-KARRASA-SHP-018,T-P2C01-W3-014,TransportERP Product Owner,Independent UX/Architecture Review,READY_FOR_REVIEW,Full waybill history never replaced
W3-P2C01-015,P2-C01-WAYBILL-SHIPPING-2026-08,Shipping,المتبقي غير المرحل,SHP-019,Desktop,ShippingPlanner,REQUIRED,Waybill;Item;Original;Released;Allocated;Loaded;RemainingToRelease;ReleasedRemaining;AllocatedRemaining,Loading->Ready/Empty/Error,W2-P2C01-014;W2-P2C01-016;W2-P2C01-036,W1-P2C01-004;W1-P2C01-009;W1-P2C01-012;W1-P2C01-014,waybill.release;waybill.allocate;waybill.item.movement.view,derived balances must not be negative,EMPTY: nothing remaining;LOAD_ERROR;BALANCE_INCONSISTENT,ONLINE_REQUIRED,drilldown to source ledger,RTL numeric grid; negative state rendered as blocking error,EVID-KARRASA-SHP-019,T-P2C01-W3-015,TransportERP Product Owner,Independent UX/Architecture Review,READY_FOR_REVIEW,Derived from ledgers not manual quantity
W3-P2C01-016,P2-C01-WAYBILL-SHIPPING-2026-08,Waybill,الطرود والقطع,SHP-021,Desktop,WaybillClerk/Warehouse,REQUIRED,PackageNo;Barcode;Item;Quantity;Weight;Status;CurrentLocation,Loading->Ready/Empty/Error->Editing,W2-P2C01-002;W2-P2C01-019,W1-P2C01-005;W1-P2C01-004,waybill.edit;manifest.load,barcode unique;package quantity <= item quantity,EMPTY: tracking disabled/no packages;LOAD_ERROR;BARCODE_DUPLICATE,OFFLINE_ALLOWED_DRAFT_ONLY,package/label changes audited,RTL grid; barcode copy/scan accessible,EVID-KARRASA-SHP-021,T-P2C01-W3-016,TransportERP Product Owner,Independent UX/Architecture Review,READY_FOR_REVIEW,Package tracking optional by service policy
W3-P2C01-017,P2-C01-WAYBILL-SHIPPING-2026-08,Waybill,الباركود والملصقات,SHP-022,Desktop,WaybillClerk/Warehouse,REQUIRED,WaybillNo;PackageBarcode;Item;HandlingLabels;PrintCount,Loading->Ready/Empty/Error->Printing,W2-P2C01-002;W2-P2C01-010,W1-P2C01-005;W1-P2C01-006,waybill.print;waybill.attachment.add,approved number required for official label;draft watermark otherwise,EMPTY: no packages;LOAD_ERROR;PRINT_ERROR,ONLINE_PREFERRED,print actor document number label type audited,RTL preview; barcode textual fallback,EVID-KARRASA-SHP-022,T-P2C01-W3-017,TransportERP Product Owner,Independent UX/Architecture Review,READY_FOR_REVIEW,Labels show risk handling symbols with text
W3-P2C01-018,P2-C01-WAYBILL-SHIPPING-2026-08,Shipping,البوالص الجاهزة للتحميل,SHP-023,Desktop,ShippingClerk,REQUIRED,Waybill;Item;Trip;AllocatedRemaining;RiskFlags;Priority;Destination,Loading->Ready/Empty/Error->Selecting,W2-P2C01-016;W2-P2C01-018,W1-P2C01-002;W1-P2C01-012;W1-P2C01-021,manifest.create;waybill.allocate,only approved released allocated quantities;resource constraints visible,EMPTY: nothing ready;LOAD_ERROR;HOLD_BLOCKED,ONLINE_REQUIRED,selection and manifest generation audited,RTL grid; priority not color-only,EVID-KARRASA-SHP-023,T-P2C01-W3-018,TransportERP Product Owner,Independent UX/Architecture Review,READY_FOR_REVIEW,Pre-load planning list
W3-P2C01-019,P2-C01-WAYBILL-SHIPPING-2026-08,Shipping,تخطيط الحمولة,SHP-024,Desktop,ShippingPlanner,REQUIRED,Trip;Capacity;AllocatedWeight;AllocatedVolume;Item;Qty;Priority;RiskFlags,Loading->Ready/Empty/Error->Planning->Saved,W2-P2C01-016;W2-P2C01-017;W2-P2C01-018,W1-P2C01-010;W1-P2C01-012;W1-P2C01-013,waybill.allocate;manifest.create,route compatible;capacity/risk policy warnings,EMPTY: no allocations;LOAD_ERROR;RESOURCE_CONSTRAINT,ONLINE_REQUIRED,allocation and plan changes audited,RTL planning grid; capacity totals readable,EVID-KARRASA-SHP-024,T-P2C01-W3-019,TransportERP Product Owner,Independent UX/Architecture Review,READY_FOR_REVIEW,Vehicle capacity is reference policy until Fleet implementation
W3-P2C01-020,P2-C01-WAYBILL-SHIPPING-2026-08,Transport,إنشاء الرحلة,SHP-025,Desktop,Dispatcher,REQUIRED,TripNo;Vehicle;Driver;Origin;Destination;PlannedDepartAt;Status,Loading->Ready/Empty/Error->Editing->Saved,W2-P2C01-015,W1-P2C01-010,trip.create,origin/destination valid;driver/vehicle references present,EMPTY: new trip;LOAD_ERROR;DUPLICATE_TRIP_NO,ONLINE_REQUIRED,trip creation assignments audited,RTL form; lookup labels accessible,EVID-KARRASA-SHP-025,T-P2C01-W3-020,TransportERP Product Owner,Independent UX/Architecture Review,READY_FOR_REVIEW,Transport trip contract
W3-P2C01-021,P2-C01-WAYBILL-SHIPPING-2026-08,Transport,محطات الرحلة,SHP-026,Desktop,Dispatcher,REQUIRED,Trip;StopNo;Location;StopType;PlannedAt;ArrivedAt;DepartedAt;Status,Loading->Ready/Empty/Error->Editing,W2-P2C01-015;W2-P2C01-022,W1-P2C01-010;W1-P2C01-011,trip.create;arrival.record,unique stop sequence;locations valid,EMPTY: direct trip;LOAD_ERROR;LOCATION_INVALID,ONLINE_REQUIRED,stop plan and actual times audited,RTL ordered list; sequence explicit,EVID-KARRASA-SHP-026,T-P2C01-W3-021,TransportERP Product Owner,Independent UX/Architecture Review,READY_FOR_REVIEW,Supports transit route
W3-P2C01-022,P2-C01-WAYBILL-SHIPPING-2026-08,Transport,تحميل الرحلة,SHP-027,Desktop/Mobile,Loader,REQUIRED,Manifest;Waybill;Item;AllocatedQty;LoadedQty;Weight;RiskFlags;Status,Loading->Ready/Empty/Error->Loading->Loaded,W2-P2C01-019,W1-P2C01-012;W1-P2C01-014;W1-P2C01-015,manifest.load,loaded <= allocated remaining;resource constraints pass,EMPTY: no manifest lines;LOAD_ERROR;QUANTITY_EXCEEDS_ALLOCATION;RESOURCE_CONSTRAINT,OFFLINE_QUEUE_ALLOWED_SERVER_ACCEPTED,load quantity actor device time audited,RTL scan-friendly grid; clear server accepted state,EVID-KARRASA-SHP-027,T-P2C01-W3-022,TransportERP Product Owner,Independent UX/Architecture Review,READY_FOR_REVIEW,No over-load
W3-P2C01-023,P2-C01-WAYBILL-SHIPPING-2026-08,Transport,كشف الحمولة Manifest,SHP-028,Desktop/Mobile,Dispatcher/Driver,REQUIRED,ManifestNo;Trip;Driver;Vehicle;Waybill;Item;Qty;Weight;Volume;Status;Totals,Loading->Ready/Empty/Error->Finalized/HandedOver,W2-P2C01-018;W2-P2C01-020,W1-P2C01-013;W1-P2C01-014,manifest.create;manifest.handover,manifest lines match allocations and load policy,EMPTY: no lines;LOAD_ERROR;INVALID_STATE,ONLINE_REQUIRED,finalization and handover audited,RTL printable report; totals and page headers,EVID-KARRASA-SHP-028,T-P2C01-W3-023,TransportERP Product Owner,Independent UX/Architecture Review,READY_FOR_REVIEW,Source for trip execution and commissions
W3-P2C01-024,P2-C01-WAYBILL-SHIPPING-2026-08,Transport,تسليم عهدة الحمولة للسائق,SHP-029,Desktop/Mobile,Dispatcher/Driver,REQUIRED,Manifest;Driver;Vehicle;Totals;Acceptance;Timestamp,Loading->Ready/Error->Submitting->Accepted,W2-P2C01-020,W1-P2C01-010;W1-P2C01-013,manifest.handover,assigned driver must accept finalized manifest,LOAD_ERROR;DRIVER_MISMATCH;INVALID_STATE,ONLINE_REQUIRED,handover and acceptance identity audited,RTL confirmation; totals before accept,EVID-KARRASA-SHP-029,T-P2C01-W3-024,TransportERP Product Owner,Independent UX/Architecture Review,READY_FOR_REVIEW,Custody begins on acceptance
W3-P2C01-025,P2-C01-WAYBILL-SHIPPING-2026-08,Transport,انطلاق الرحلة,SHP-030,Desktop/Mobile,Dispatcher/Driver,REQUIRED,Trip;Manifest;Driver;Vehicle;PlannedDepartAt;ActualDepartAt;Status,Loading->Ready/Error->Starting->Departed,W2-P2C01-021,W1-P2C01-010;W1-P2C01-013;W1-P2C01-015,trip.start,manifest accepted and trip ready,LOAD_ERROR;MANIFEST_NOT_ACCEPTED;INVALID_STATE,ONLINE_REQUIRED,start user time device audited,RTL confirmation; status announced,EVID-KARRASA-SHP-030,T-P2C01-W3-025,TransportERP Product Owner,Independent UX/Architecture Review,READY_FOR_REVIEW,Operational event only; no duplicate revenue
W3-P2C01-026,P2-C01-WAYBILL-SHIPPING-2026-08,Tracking,تتبع الرحلة,SHP-031,Desktop/Mobile,Operations,REQUIRED,Trip;Status;Stops;LastOperationalEvent;WaybillCount;Manifest;ETA placeholder,Loading->Ready/Empty/Error->Detail,W2-P2C01-022;W2-P2C01-035,W1-P2C01-010;W1-P2C01-011;W1-P2C01-015,trip.view;waybill.movement.view,scope valid,EMPTY: no events;LOAD_ERROR,ONLINE_REQUIRED,tracking reads and arrival actions as configured,RTL timeline; GPS shown later as separate source,EVID-KARRASA-SHP-031,T-P2C01-W3-026,TransportERP Product Owner,Independent UX/Architecture Review,READY_FOR_REVIEW,GPS raw events are not Waybill MovementEvents
W3-P2C01-027,P2-C01-WAYBILL-SHIPPING-2026-08,Arrival,محطة وسيطة وترانزيت,SHP-032,Desktop,TransitClerk,REQUIRED,Trip;Stop;Waybill;Item;Expected;Actual;Holding;NextTrip;Status,Loading->Ready/Empty/Error->Receiving->Available/Reallocated,W2-P2C01-022;W2-P2C01-023;W2-P2C01-024,W1-P2C01-011;W1-P2C01-016;W1-P2C01-017;W1-P2C01-018;W1-P2C01-012,arrival.record;arrival.unload;waybill.reallocate,actual <= in-transit;reallocate <= available,EMPTY: no transit cargo;LOAD_ERROR;QUANTITY_EXCEEDS_IN_TRANSIT;QUANTITY_EXCEEDS_AVAILABLE,ONLINE_REQUIRED,receipt differences holding and reallocation audited,RTL split view; quantities and next trip explicit,EVID-KARRASA-SHP-032,T-P2C01-W3-027,TransportERP Product Owner,Independent UX/Architecture Review,READY_FOR_REVIEW,Preserves previous trip history
W3-P2C01-028,P2-C01-WAYBILL-SHIPPING-2026-08,Arrival,تفريغ جزئي,SHP-033,Desktop/Mobile,TransitClerk/Receiver,REQUIRED,ManifestLine;ExpectedQty;UnloadQty;RemainingInTransit;DifferenceType;DamageQty;Notes,Loading->Ready/Empty/Error->Submitting->Recorded,W2-P2C01-023,W1-P2C01-014;W1-P2C01-017;W1-P2C01-015,arrival.unload,unload <= in-transit;difference evidence where required,EMPTY: no line;LOAD_ERROR;QUANTITY_EXCEEDS_IN_TRANSIT,OFFLINE_QUEUE_ALLOWED_SERVER_ACCEPTED,actual qty difference damage evidence audited,RTL numeric form; remaining explicit,EVID-KARRASA-SHP-033,T-P2C01-W3-028,TransportERP Product Owner,Independent UX/Architecture Review,READY_FOR_REVIEW,Partial unload supported
W3-P2C01-029,P2-C01-WAYBILL-SHIPPING-2026-08,Arrival,استلام فرع الوصول,SHP-034,Desktop,ReceivingClerk,REQUIRED,Trip;Manifest;Location;ReceivedAt;Waybill;Item;Expected;Actual;Difference;ReceiptStatus,Loading->Ready/Empty/Error->Receiving->Finalized,W2-P2C01-022;W2-P2C01-023,W1-P2C01-016;W1-P2C01-017;W1-P2C01-018,arrival.record;arrival.unload,all actual lines validated before finalize,EMPTY: no arrivals;LOAD_ERROR;DIFFERENCE_REQUIRES_EVIDENCE,ONLINE_REQUIRED,receipt finalization and differences audited,RTL receiving grid; expected vs actual clear,EVID-KARRASA-SHP-034,T-P2C01-W3-029,TransportERP Product Owner,Independent UX/Architecture Review,READY_FOR_REVIEW,Full arrival only when all required quantities received
W3-P2C01-030,P2-C01-WAYBILL-SHIPPING-2026-08,Notifications,إشعار المستلم,SHP-035,Desktop,CustomerService,REQUIRED,Waybill;Receiver;Mobile;ArrivalStatus;ArrivedItems;RemainingItems;MessagePreview;DeliveryState,Loading->Ready/Empty/Error->Prepared/Sent/Failed,W2-P2C01-022,W1-P2C01-002;W1-P2C01-003;W1-P2C01-017,notification.send,valid receiver contact;arrival event exists,EMPTY: no pending notifications;LOAD_ERROR;CONTACT_MISSING;PROVIDER_UNAVAILABLE,ONLINE_REQUIRED,message event provider result and actor audited,RTL message preview; no sensitive data in template,EVID-KARRASA-SHP-035,T-P2C01-W3-030,TransportERP Product Owner,Independent UX/Architecture Review,READY_FOR_REVIEW,Provider integration remains configurable
W3-P2C01-031,P2-C01-WAYBILL-SHIPPING-2026-08,Delivery,تسليم كلي أو جزئي,SHP-036,Desktop/Mobile,DeliveryClerk,REQUIRED,Waybill;Recipient;AvailableItems;DeliverQty;Identity;AmountDue;CollectionMethod;Status,Loading->Ready/Empty/Error->Submitting->Partial/Completed,W2-P2C01-028;W2-P2C01-012,W1-P2C01-018;W1-P2C01-019;W1-P2C01-020;W1-P2C01-008,waybill.deliver;waybill.collection.create,deliver <= available;identity/POD/COD rules,EMPTY: nothing available;LOAD_ERROR;QUANTITY_EXCEEDS_AVAILABLE;IDENTITY_REQUIRED;HOLD_BLOCKED,OFFLINE_CAPTURE_SYNC_ALLOWED,recipient quantities location collector audited,RTL delivery grid; outstanding amount visible,EVID-KARRASA-SHP-036,T-P2C01-W3-031,TransportERP Product Owner,Independent UX/Architecture Review,READY_FOR_REVIEW,Supports partial delivery
W3-P2C01-032,P2-C01-WAYBILL-SHIPPING-2026-08,Delivery,إثبات التسليم POD,SHP-037,Desktop/Mobile,DeliveryClerk,REQUIRED,Delivery;Recipient;IdentityType;IdentityNo;Photo;Signature;OTP;ProofType;Timestamp,Loading->Ready/Error->Capturing->Saved,W2-P2C01-029,W1-P2C01-006;W1-P2C01-019,waybill.pod.capture;waybill.attachment.add,required proof components by policy,LOAD_ERROR;POD_REQUIRED;IDENTITY_REQUIRED;ATTACHMENT_INVALID,OFFLINE_CAPTURE_SYNC_ALLOWED,proof hashes identity access device actor audited,RTL capture flow; camera/signature alternatives accessible,EVID-KARRASA-SHP-037,T-P2C01-W3-032,TransportERP Product Owner,Independent UX/Architecture Review,READY_FOR_REVIEW,Sensitive data protected
W3-P2C01-033,P2-C01-WAYBILL-SHIPPING-2026-08,Delivery,تعذر أو عدم التسليم,SHP-038,Desktop/Mobile,DeliveryClerk,REQUIRED,Waybill;DeliveryAttempt;Reason;Location;Timestamp;Evidence;NextAction,Loading->Ready/Error->Submitting->Failed/ExceptionOpen,W2-P2C01-030,W1-P2C01-019;W1-P2C01-025;W1-P2C01-006,waybill.exception.create,reason required;evidence by policy,LOAD_ERROR;REASON_REQUIRED;EVIDENCE_REQUIRED,OFFLINE_QUEUE_ALLOWED_SERVER_ACCEPTED,attempt reason evidence next action audited,RTL reason list; failure not color-only,EVID-KARRASA-SHP-038,T-P2C01-W3-033,TransportERP Product Owner,Independent UX/Architecture Review,READY_FOR_REVIEW,Failed delivery is an exception not deletion
W3-P2C01-034,P2-C01-WAYBILL-SHIPPING-2026-08,Delivery,مرتجع الشحنة,SHP-039,Desktop,Operations,REQUIRED,Waybill;RemainingItems;ReturnDestination;Reason;NewRoute;Status,Loading->Ready/Error->Submitting->Redirected/ExceptionOpen,W2-P2C01-027;W2-P2C01-030,W1-P2C01-002;W1-P2C01-015;W1-P2C01-025,waybill.redirect;waybill.exception.create,undelivered qty exists;return destination valid;reason required,LOAD_ERROR;NO_REMAINING_QUANTITY;DESTINATION_INVALID;REASON_REQUIRED,ONLINE_REQUIRED,old/new route reason exception audited,RTL review; original route remains visible,EVID-KARRASA-SHP-039,T-P2C01-W3-034,TransportERP Product Owner,Independent UX/Architecture Review,READY_FOR_REVIEW,Return adds route history
W3-P2C01-035,P2-C01-WAYBILL-SHIPPING-2026-08,Exceptions,مطالبة تلف أو نقص أو فقد,SHP-040,Desktop/Mobile,Operations/Claims,REQUIRED,Waybill;Item;Package;ExceptionType;Quantity;Trip;Location;Evidence;Status;Resolution,Loading->Ready/Empty/Error->Opening->Investigating->Resolved,W2-P2C01-030,W1-P2C01-025;W1-P2C01-006;W1-P2C01-015,waybill.exception.create,qty valid;evidence required by type,EMPTY: no claims;LOAD_ERROR;QUANTITY_INVALID;EVIDENCE_REQUIRED,OFFLINE_QUEUE_ALLOWED_SERVER_ACCEPTED,exception evidence resolution audited,RTL case view; source movements drillable,EVID-KARRASA-SHP-040,T-P2C01-W3-035,TransportERP Product Owner,Independent UX/Architecture Review,READY_FOR_REVIEW,No deletion of original movements
