معرف_الدليل,معرف_مرجع_البحث,الشركة_المنتج,ملف_الصورة,المصدر,نوع_المصدر,الإصدار_المثبت,تصنيف_الحداثة,الشاشات_المستهدفة,أسماء_الشاشات_المستهدفة,التبويبات_أو_الأقسام_المناسبة,الحقول_المناسبة,الإجراءات_المناسبة,ما_تثبته_الصورة_تحديدًا,الاستخدام_التصميمي,التصنيف_الحوكمي,أثر_الحوكمة,تحقق_TEAM_07,تحقق_TEAM_10,تحقق_TEAM_09,نتيجة_TEAM_11,بصمة_SHA_256,الحجم_بايت
EVD-016,SCR-045,Betterez — Betterez,betterez_manual_sales_form.png,https://support.betterez.com/content/sales/110_manual_sales,صورة أصلية من مركز مساعدة الشركة,VERSION UNKNOWN,UNVERIFIED VERSION — إصدار غير متحقق,TRV-035,تسجيل بيع/تذكرة يدوي أو دون اتصال,المبيعات اليدوية؛ تسلسل التذاكر للمستخدم,تاريخ المانيفست؛ اسم الجدول؛ السائق؛ أرقام التذاكر؛ الأسعار؛ التسلسل المسند,رفع المبيعات اليدوية؛ حفظ إسناد التسلسل,Manual ticket registration fields and sequence context.,نمط تسجيل المبيعات اليدوية الخاضعة للرقابة,REFERENCE ONLY — مرجع فقط,الإصدار المرئي غير متحقق؛ لا يثبت شكل الواجهة الحالية.,PASS — ناجح: ربط بصري دلالي دون اختراع شاشة.,تحقق خارجي: دعم بيتريز يوثق تسجيل المبيعات اليدوية وتسلسل التذاكر؛ الإصدار المرئي غير مختوم.,PASS — ناجح: المصدر/الإصدار/البصمة/المطالبة محفوظة في فهرس الأدلة.,PASS WITH GUARDRAILS — ناجح مع ضوابط.,62dafd14ec2e71b8dc0903962df315a19aa00a5fe4a3c802f39ee9b8012b682e,97162
EVD-017,SCR-041,Betterez — Betterez,betterez_schedule_basic.png,https://support.betterez.com/content/admin/305_schedules,صورة أصلية من مركز مساعدة الشركة,VERSION UNKNOWN,UNVERIFIED VERSION — إصدار غير متحقق,TRV-003 | TRV-004,الجداول والمواعيد | قالب الرحلة,البيانات الأساسية؛ إعدادات الجدول الإضافية,المسار؛ الاسم؛ الوقت؛ المنطقة الزمنية؛ تاريخ البداية/النهاية؛ أيام الأسبوع؛ العطل؛ تسجيل الوصول؛ رحلة إضافية,إضافة جديد؛ نسخ؛ تحديث الأرجل/المقاطع عند توفره,Route/name/time/time-zone/date/day fields.,نمط إعداد الجداول الفعالة ومواعيد الرحلات,REFERENCE ONLY — مرجع فقط,الإصدار المرئي غير متحقق؛ لا يثبت الشكل الحالي.,PASS — ناجح: ربط بصري دلالي دون اختراع شاشة.,تحقق خارجي: دعم بيتريز يوثق الجداول والمواعيد والخصائص، لكن الصور لا تحمل ختم إصدار دقيق.,PASS — ناجح: المصدر/الإصدار/البصمة/المطالبة محفوظة في فهرس الأدلة.,PASS WITH GUARDRAILS — ناجح مع ضوابط.,0f7c1675a522bc1160f9f146115aa0c2e27f9bdbb8ea5e6716394d050d5baeb5,71198
EVD-018,SCR-041,Betterez — Betterez,betterez_schedule_seating_capacity.png,https://support.betterez.com/content/admin/305_schedules,صورة أصلية من مركز مساعدة الشركة,VERSION UNKNOWN,UNVERIFIED VERSION — إصدار غير متحقق,TRV-003 | TRV-004,الجداول والمواعيد | قالب الرحلة,البيانات الأساسية؛ إعدادات الجدول الإضافية,المسار؛ الاسم؛ الوقت؛ المنطقة الزمنية؛ تاريخ البداية/النهاية؛ أيام الأسبوع؛ المركبة؛ خريطة المقاعد؛ السعة,إضافة جديد؛ نسخ؛ تحديث الأرجل/المقاطع عند توفره,Vehicle seatmap capacity and fare-type capacity option.,نمط إعداد الجداول والسعة,REFERENCE ONLY — مرجع فقط,الإصدار المرئي غير متحقق؛ لا يثبت الشكل الحالي.,PASS — ناجح: ربط بصري دلالي دون اختراع شاشة.,تحقق خارجي: دعم بيتريز يوثق الجداول والسعة، لكن الإصدار المرئي غير مختوم.,PASS — ناجح: المصدر/الإصدار/البصمة/المطالبة محفوظة في فهرس الأدلة.,PASS WITH GUARDRAILS — ناجح مع ضوابط.,f8b1b49954cc9066226865572db409001780454ff1fcbc3149e70aba47f59169,88910
EVD-019,SCR-044,Betterez — Betterez,betterez_users_identity_role.png,https://support.betterez.com/content/admin/400_users,صورة أصلية من مركز مساعدة الشركة,VERSION UNKNOWN,UNVERIFIED VERSION — إصدار غير متحقق,SEC-001,المستخدمون,الخيارات | المصادقة متعددة العوامل | تسلسل التذاكر | معلومات تسجيل الوصول,الدور؛ القفل؛ لون المستخدم؛ المصادقة متعددة العوامل؛ مواقع الوردية؛ تصفية القوائم؛ الاختصارات؛ قابلية الإسناد للمانيفست؛ ظهور تطبيق السائق؛ فرض الدخول الموحد؛ شاشة البداية؛ اللغة؛ المحطات/المنتج الافتراضي؛ تسلسل التذاكر,حفظ؛ تمكين/تعطيل المصادقة متعددة العوامل؛ إصدار/طباعة بطاقة المسح,User information and role/identity controls.,نمط إعداد المستخدم والأمان والافتراضات التشغيلية,REFERENCE ONLY — مرجع فقط,الإصدار المرئي غير متحقق؛ لا يثبت الشكل الحالي.,PASS — ناجح: ربط بصري دلالي دون اختراع شاشة.,تحقق خارجي: دعم بيتريز يوثق المستخدمين والأدوار والمصادقة متعددة العوامل وخيارات التطبيق؛ الإصدار المرئي غير مختوم.,PASS — ناجح: المصدر/الإصدار/البصمة/المطالبة محفوظة في فهرس الأدلة.,PASS WITH GUARDRAILS — ناجح مع ضوابط.,7ed3ad740dc1fdf450499eac361246909e914dbce8d9d8943e7bfa205440ec4a,54350
EVD-020,SCR-044,Betterez — Betterez,betterez_users_options.png,https://support.betterez.com/content/admin/400_users,صورة أصلية من مركز مساعدة الشركة,VERSION UNKNOWN,UNVERIFIED VERSION — إصدار غير متحقق,SEC-001,المستخدمون,الخيارات | المصادقة متعددة العوامل | تسلسل التذاكر | معلومات تسجيل الوصول,الدور؛ القفل؛ المصادقة متعددة العوامل؛ مواقع الوردية؛ الخيارات التشغيلية؛ شاشة البداية؛ اللغة؛ المحطات/المنتج الافتراضي؛ تسلسل التذاكر,حفظ؛ تمكين/تعطيل المصادقة متعددة العوامل,User options/defaults and operational access settings.,نمط إعداد المستخدم والأمان والافتراضات التشغيلية,REFERENCE ONLY — مرجع فقط,الإصدار المرئي غير متحقق؛ لا يثبت الشكل الحالي.,PASS — ناجح: ربط بصري دلالي دون اختراع شاشة.,تحقق خارجي: دعم بيتريز يوثق المستخدمين والأدوار وخيارات التطبيق؛ الإصدار المرئي غير مختوم.,PASS — ناجح: المصدر/الإصدار/البصمة/المطالبة محفوظة في فهرس الأدلة.,PASS WITH GUARDRAILS — ناجح مع ضوابط.,0c15d158acbb06c5285597ea3b5e5f9b394800566e0e150a2fba262d6c830969,234290
EVD-021,SCR-008,Rose Rocket — TMS / TMS.ai,roserocket_driver_settlement_outstanding.webp,https://help.roserocket.com/driver-settlement,لقطة مضمنة في مساعدة الشركة الرسمية,VERSION UNKNOWN,UNVERIFIED VERSION — إصدار غير متحقق,FIN-035 | SHP-045,تسوية عهدة السائق | تسوية رسوم الرحلة,المستحقات | الفواتير؛ عروض الكل/المانيفست/الوقود/المتكرر,نوع المستحق؛ معرف المانيفست؛ المسند إليه؛ تواريخ البداية/الإكمال؛ مرجع الناقل؛ المسافة؛ المحطات؛ الساعات؛ تفاصيل الفاتورة والتعديلات,إضافة فلتر؛ إنشاء فاتورة؛ إعادة احتساب؛ إضافة بند؛ اعتماد؛ اعتماد وإرسال؛ تعليم كمدفوع,Outstanding/Bills tabs views filters and payable grid.,نمط تسوية مستحقات السائق,REFERENCE ONLY — مرجع فقط,الصفحة الحالية موثقة لكن ختم إصدار اللقطة غير كافٍ؛ مرجع فقط.,PASS — ناجح: ربط بصري دلالي دون اختراع شاشة.,تحقق خارجي: صفحة روز روكِت الحالية تؤكد المسار؛ ختم إصدار اللقطة غير دقيق.,PASS — ناجح: المصدر/الإصدار/البصمة/المطالبة محفوظة في فهرس الأدلة.,PASS WITH GUARDRAILS — ناجح مع ضوابط.,5c3f3a114d34cfed42d17d3b3f7e93fabf1f6d2be210789de5679c0862abb189,64016
EVD-022,SCR-008,Rose Rocket — TMS / TMS.ai,roserocket_driver_settlement_bill_detail.webp,https://help.roserocket.com/driver-settlement,لقطة مضمنة في مساعدة الشركة الرسمية,VERSION UNKNOWN,UNVERIFIED VERSION — إصدار غير متحقق,FIN-035 | SHP-045,تسوية عهدة السائق | تسوية رسوم الرحلة,المستحقات | الفواتير؛ تفاصيل الفاتورة,فترة الدفع؛ حالة المراجعة؛ بنود الفاتورة؛ التعديلات,اعتماد؛ إرسال؛ تعليم كمدفوع,In Review state bill details pay-period fields line-item grid and approval actions.,نمط تفاصيل فاتورة تسوية السائق,REFERENCE ONLY — مرجع فقط,ختم إصدار اللقطة غير دقيق؛ لا تثبت شكلًا حاليًا.,PASS — ناجح: ربط بصري دلالي دون اختراع شاشة.,تحقق خارجي: صفحة روز روكِت الحالية تؤكد المسار؛ ختم إصدار اللقطة غير دقيق.,PASS — ناجح: المصدر/الإصدار/البصمة/المطالبة محفوظة في فهرس الأدلة.,PASS WITH GUARDRAILS — ناجح مع ضوابط.,50f1595f9a0dc5612cc66690ea1b47ff0cfe346e3ccbf8e1d51cb2940c5295ae,82382
EVD-023,SCR-039,Rose Rocket — Truck Driver App,roserocket_driver_trips.webp,https://help.roserocket.com/platform/rose-rocket-driver-mobile-app,صورة أصلية من مركز مساعدة الشركة,VERSION UNKNOWN,UNVERIFIED VERSION — إصدار غير متحقق,MOB-015 | MOB-017,تطبيق السائق — مهامي اليوم | تطبيق السائق — استلام حمولة,الحالي | السابق؛ بطاقات الرحلات/المهام,وقت البداية/النهاية؛ المحطات/المهام؛ تعليمات الشحن؛ البضائع؛ رقم عرض الحمولة؛ العناوين,فتح المانيفست/المهمة؛ فتح العنوان على الخريطة؛ رفع مستند/إثبات؛ مشاركة الموقع,Trips tabs and manifest cards.,نمط قائمة مهام السائق والرحلات,REFERENCE ONLY — مرجع فقط,الإصدار المرئي غير متحقق؛ مرجع بنيوي فقط.,PASS — ناجح: ربط بصري دلالي دون اختراع شاشة.,تحقق خارجي: مركز روز روكِت الحالي يوثق تطبيق السائق، لكن اللقطات المخزنة بلا ختم إصدار دقيق.,PASS — ناجح: المصدر/الإصدار/البصمة/المطالبة محفوظة في فهرس الأدلة.,PASS WITH GUARDRAILS — ناجح مع ضوابط.,cd57774d8d87616908b70771b8442903bc5375c33024d73306a38eed594fd75c,13434
EVD-024,SCR-039,Rose Rocket — Truck Driver App,roserocket_driver_task_detail.webp,https://help.roserocket.com/platform/rose-rocket-driver-mobile-app,صورة أصلية من مركز مساعدة الشركة,VERSION UNKNOWN,UNVERIFIED VERSION — إصدار غير متحقق,MOB-015 | MOB-017,تطبيق السائق — مهامي اليوم | تطبيق السائق — استلام حمولة,تفاصيل المهمة,المحطة/المهمة؛ التعليمات؛ البضائع؛ العنوان,فتح الإجراءات؛ فتح الخريطة؛ رفع الدليل,Task detail fields and Actions entry point.,نمط تفاصيل مهمة السائق,REFERENCE ONLY — مرجع فقط,الإصدار المرئي غير متحقق؛ مرجع بنيوي فقط.,PASS — ناجح: ربط بصري دلالي دون اختراع شاشة.,تحقق خارجي: مركز روز روكِت الحالي يوثق تطبيق السائق، لكن اللقطة بلا ختم إصدار دقيق.,PASS — ناجح: المصدر/الإصدار/البصمة/المطالبة محفوظة في فهرس الأدلة.,PASS WITH GUARDRAILS — ناجح مع ضوابط.,424fbe2f867e830133c2549e7cf0000a0cd972512946d4857e20cac34acd73a0,11002
EVD-025,SCR-040,Rose Rocket — Truck Driver App,roserocket_driver_upload_proof.webp,https://help.roserocket.com/platform/rose-rocket-driver-mobile-app,صورة أصلية من مركز مساعدة الشركة,VERSION UNKNOWN,UNVERIFIED VERSION — إصدار غير متحقق,MOB-021,تطبيق السائق — إثبات الاستلام/التسليم,أوضاع الدليل بدل التبويبات,اسم المستلم؛ بريد المستلم؛ التوقيع؛ صورة/مسح مستند,توقيع؛ صورة؛ مسح؛ معرض الصور؛ إضافة صورة؛ مسح الإدخال؛ حفظ,Scan/camera/gallery/signature proof actions.,نمط جمع دليل التسليم من الجوال,REFERENCE ONLY — مرجع فقط,الإصدار المرئي غير متحقق؛ مرجع بنيوي فقط.,PASS — ناجح: ربط بصري دلالي دون اختراع شاشة.,تحقق خارجي: مركز روز روكِت الحالي يوثق تدفقات تطبيق السائق؛ اللقطة بلا ختم إصدار دقيق.,PASS — ناجح: المصدر/الإصدار/البصمة/المطالبة محفوظة في فهرس الأدلة.,PASS WITH GUARDRAILS — ناجح مع ضوابط.,d6258911d5d764b6b774a9a5b0d7b99567281ab35257b43056326f48139f5d4a,14106
EVD-026,SCR-079,Samsara — Samsara Driver App,samsara_driver_routes_list.png,https://kb.samsara.com/hc/en-us/articles/360041258291-View-Start-and-Complete-Routes,صورة أصلية من مركز مساعدة الشركة,CURRENT,CURRENT — حالي,MOB-015 | MOB-016,تطبيق السائق — مهامي اليوم | تطبيق السائق — الملاحة,قائمة المسارات؛ تفاصيل التوقف,ملخص المسار؛ المحطات؛ ملاحظات المرسل؛ حالة الإسناد,عرض المسارات؛ بدء/إكمال المسار؛ الملاحة؛ النماذج,Assigned route list and route-summary state.,نمط المسار والتوقفات اليومية للسائق,DEVELOPMENT PROPOSAL — مقترح تطوير,اقتراح اقتباس تصميمي فقط؛ لا يغير قواعد التوجيه أو الإسناد.,PASS — ناجح: ربط بصري دلالي دون اختراع شاشة.,تحقق خارجي: سامسارا الحالي يوثق عرض وبدء وإكمال المسارات والتوقفات.,PASS — ناجح: المصدر/الإصدار/البصمة/المطالبة محفوظة في فهرس الأدلة.,PASS WITH GUARDRAILS — ناجح مع ضوابط.,d4873c0eb1ee8ed214730ab8cce24bf5e9196113dcc8dd3ff0d507ff5b885a10,456228
EVD-027,SCR-079,Samsara — Samsara Driver App,samsara_driver_route_details.png,https://kb.samsara.com/hc/en-us/articles/360041258291-View-Start-and-Complete-Routes,صورة أصلية من مركز مساعدة الشركة,CURRENT,CURRENT — حالي,MOB-015 | MOB-016,تطبيق السائق — مهامي اليوم | تطبيق السائق — الملاحة,تفاصيل التوقف,ملخص المسار؛ المحطات؛ ملاحظات المرسل,بدء/إكمال المسار؛ الملاحة؛ إجراءات التوقف,Stop details and route actions.,نمط تفاصيل التوقف والمسار,DEVELOPMENT PROPOSAL — مقترح تطوير,اقتراح اقتباس تصميمي فقط.,PASS — ناجح: ربط بصري دلالي دون اختراع شاشة.,تحقق خارجي: سامسارا الحالي يوثق تفاصيل المسار والتوقفات.,PASS — ناجح: المصدر/الإصدار/البصمة/المطالبة محفوظة في فهرس الأدلة.,PASS WITH GUARDRAILS — ناجح مع ضوابط.,72e10ab0e69107228d120196523f312195eaba13bb7c9f4fe791b8c1e624ed27,241384
EVD-028,SCR-079,Samsara — Samsara Driver App,samsara_driver_manual_depart.png,https://kb.samsara.com/hc/en-us/articles/360041258291-View-Start-and-Complete-Routes,صورة أصلية من مركز مساعدة الشركة,CURRENT,CURRENT — حالي,MOB-015 | MOB-016,تطبيق السائق — مهامي اليوم | تطبيق السائق — الملاحة,حالة المغادرة/الوصول اليدوي,المحطة؛ الوقت؛ حالة المسار,تسجيل مغادرة/وصول؛ إرسال الوقت,Manually depart/arrive and time-submit state.,نمط حالات المغادرة/الوصول,DEVELOPMENT PROPOSAL — مقترح تطوير,اقتراح اقتباس تصميمي فقط.,PASS — ناجح: ربط بصري دلالي دون اختراع شاشة.,تحقق خارجي: سامسارا الحالي يوثق بدء وإكمال المسارات والتوقفات.,PASS — ناجح: المصدر/الإصدار/البصمة/المطالبة محفوظة في فهرس الأدلة.,PASS WITH GUARDRAILS — ناجح مع ضوابط.,f6025186e4a404a30f439becf71733ed2067c4f34815de2ea8be36cb026576b1,168159
EVD-029,SCR-080,Samsara — Samsara Driver App,samsara_driver_map_assets.png,https://kb.samsara.com/hc/en-us/articles/27594344513421-Samsara-Driver-App-Map,صورة أصلية من مركز مساعدة الشركة,CURRENT,CURRENT — حالي,MOB-016,تطبيق السائق — الملاحة,الخريطة؛ قائمة الأصول؛ خيارات الخريطة,الأصل؛ الموقع؛ الحالة؛ نتائج البحث,بحث؛ اختيار أصل؛ عرض التفاصيل؛ الاتجاهات,Map with asset list/search and map options.,نمط خريطة السائق والبحث والاتجاهات,DEVELOPMENT PROPOSAL — مقترح تطوير,اقتراح اقتباس تصميمي فقط؛ لا يغير عقود GPS أو الملاحة.,PASS — ناجح: ربط بصري دلالي دون اختراع شاشة.,تحقق خارجي: سامسارا الحالي يوثق خريطة تطبيق السائق والبحث عن الأصول والاتجاهات.,PASS — ناجح: المصدر/الإصدار/البصمة/المطالبة محفوظة في فهرس الأدلة.,PASS WITH GUARDRAILS — ناجح مع ضوابط.,deb0b432bf90fe80e28c6cd1dbe265a064917ff2d4de767a2a42afec43082f2a,1603268
EVD-030,SCR-080,Samsara — Samsara Driver App,samsara_driver_map_asset_detail.png,https://kb.samsara.com/hc/en-us/articles/27594344513421-Samsara-Driver-App-Map,صورة أصلية من مركز مساعدة الشركة,CURRENT,CURRENT — حالي,MOB-016,تطبيق السائق — الملاحة,تفاصيل الأصل على الخريطة,الأصل؛ الموقع؛ الحالة,عرض التفاصيل؛ الاتجاهات,Asset detail and Directions action.,نمط تفاصيل الأصل والاتجاهات,DEVELOPMENT PROPOSAL — مقترح تطوير,اقتراح اقتباس تصميمي فقط.,PASS — ناجح: ربط بصري دلالي دون اختراع شاشة.,تحقق خارجي: سامسارا الحالي يوثق خريطة تطبيق السائق والاتجاهات.,PASS — ناجح: المصدر/الإصدار/البصمة/المطالبة محفوظة في فهرس الأدلة.,PASS WITH GUARDRAILS — ناجح مع ضوابط.,267b42905d6064ad483e06dd3efb8dd062356b2e4b0f1906e495f02645f422a7,2069092
EVD-031,SCR-081,Samsara — Samsara Driver App,samsara_document_signature.png,https://kb.samsara.com/hc/en-us/articles/360006617072-Submit-and-View-Documents,صورة أصلية من مركز مساعدة الشركة,CURRENT,CURRENT — حالي,MOB-027,تطبيق السائق — رفع/إرسال المستندات,نوع المستند؛ حقول الدليل؛ حالة الإرسال/المزامنة,توقيع؛ نوع المستند؛ ربط بالمهمة/الرحلة,إدخال/التقاط الدليل؛ حفظ/إرسال؛ مزامنة بحسب العقد الحاكم,Signature field state.,نمط حقول المستندات الرقمية في تطبيق السائق,DEVELOPMENT PROPOSAL — مقترح تطوير,اقتراح تبني مكون توقيع ضمن مستندات السائق؛ لا يغير عقد البيانات قبل اعتماده.,PASS — ناجح: ربط بصري دلالي دون اختراع شاشة.,تحقق خارجي: سامسارا الحالي يوثق مستندات السائق.,PASS — ناجح: المصدر/الإصدار/البصمة/المطالبة محفوظة في فهرس الأدلة.,PASS WITH GUARDRAILS — ناجح مع ضوابط.,b18666c8095b159c0726dd65adb28b0988e6ae27e7cb4774a425fd52b3987c9c,1380226
EVD-032,SCR-081,Samsara — Samsara Driver App,samsara_document_barcode.png,https://kb.samsara.com/hc/en-us/articles/360006617072-Submit-and-View-Documents,صورة أصلية من مركز مساعدة الشركة,CURRENT,CURRENT — حالي,MOB-027,تطبيق السائق — رفع/إرسال المستندات,نوع المستند؛ حقول الدليل؛ حالة الإرسال/المزامنة,باركود؛ نوع المستند؛ ربط بالمهمة/الرحلة,مسح باركود؛ حفظ/إرسال؛ مزامنة بحسب العقد الحاكم,Barcode scanner field state.,نمط حقول المستندات الرقمية في تطبيق السائق,DEVELOPMENT PROPOSAL — مقترح تطوير,اقتراح تبني مكون باركود ضمن مستندات السائق؛ لا يغير عقد البيانات قبل اعتماده.,PASS — ناجح: ربط بصري دلالي دون اختراع شاشة.,تحقق خارجي: سامسارا الحالي يوثق مستندات السائق والمسح.,PASS — ناجح: المصدر/الإصدار/البصمة/المطالبة محفوظة في فهرس الأدلة.,PASS WITH GUARDRAILS — ناجح مع ضوابط.,78f19ce6019fd70e277bb6526458bf1e95f04bc156b259d3fc921c8936bfc0ab,1223362
EVD-033,SCR-081,Samsara — Samsara Driver App,samsara_document_photos.png,https://kb.samsara.com/hc/en-us/articles/360006617072-Submit-and-View-Documents,صورة أصلية من مركز مساعدة الشركة,CURRENT,CURRENT — حالي,MOB-027,تطبيق السائق — رفع/إرسال المستندات,نوع المستند؛ حقول الدليل؛ حالة الإرسال/المزامنة,صور/مسح؛ نوع المستند؛ ربط بالمهمة/الرحلة,التقاط صورة/مسح؛ حفظ/إرسال؛ مزامنة بحسب العقد الحاكم,Photo/document capture field state.,نمط حقول المستندات الرقمية في تطبيق السائق,DEVELOPMENT PROPOSAL — مقترح تطوير,اقتراح تبني مكون صور/مسح ضمن مستندات السائق؛ لا يغير عقد البيانات قبل اعتماده.,PASS — ناجح: ربط بصري دلالي دون اختراع شاشة.,تحقق خارجي: سامسارا الحالي يوثق مستندات السائق والصور/المسح.,PASS — ناجح: المصدر/الإصدار/البصمة/المطالبة محفوظة في فهرس الأدلة.,PASS WITH GUARDRAILS — ناجح مع ضوابط.,50b5b5258a2727347f0a2ac99a243bd3314caebc7e371765dbc6f72b6a0821a0,855837
EVD-034,SCR-046,SAP — S/4HANA Cloud Public Edition,sap_s4hana_2602_4_manage_journal_entries_page44.png,https://help.sap.com/doc/ce01d82756b947a1a043a5d5a3204226/2602.12/en-US/WN_CE2602.4_EN.pdf,لقطة يدوية موثقة من مصدر رسمي,RECENT,HISTORICAL / RECENT NON-CURRENT — تاريخي / حديث غير حالي,FIN-008 | FIN-009,القيد اليومي | إدارة القيود,قائمة القيود؛ منطقة فلاتر؛ تبويبات/تفاصيل؛ شريط أدوات,الشركة/الكيان؛ معايير البحث؛ خصائص القيد؛ الحسابات/الأبعاد/العملة حسب السياق,بحث؛ فتح؛ إنشاء/نسخ/تحقق/تعديل/عكس بحسب العقد الحاكم,RECENT 2602.4 visual evidence; not proof of 2608 UI.,مرجع بصري لإدارة القيود فقط؛ لا يثبت شكل الإصدار الحالي,REFERENCE ONLY — مرجع فقط,ساب 2608 موثق وظيفيًا حاليًا لكن الصورة 2602.4 غير حالية بصريًا.,PASS — ناجح: ربط بصري دلالي دون اختراع شاشة.,تحقق خارجي: ساب توثق تطبيق إدارة القيود الجديد في 2608، بينما الصور المخزنة من 2602.4.,PASS — ناجح: المصدر/الإصدار/البصمة/المطالبة محفوظة في فهرس الأدلة.,PASS WITH GUARDRAILS — ناجح مع ضوابط.,72689267c4a2e6f8f4205ddb629cd1f875f2b9414f424c7ffd8fe4430e1250de,261115
EVD-035,SCR-046,SAP — S/4HANA Cloud Public Edition,sap_s4hana_2602_4_manage_journal_entries_page45.png,https://help.sap.com/doc/ce01d82756b947a1a043a5d5a3204226/2602.12/en-US/WN_CE2602.4_EN.pdf,لقطة يدوية موثقة من مصدر رسمي,RECENT,HISTORICAL / RECENT NON-CURRENT — تاريخي / حديث غير حالي,FIN-008 | FIN-009,القيد اليومي | إدارة القيود,ثلاثة تبويبات ظاهرة؛ منطقة فلاتر؛ شريط أدوات؛ شبكة قيود,معايير البحث؛ خصائص القيد؛ بيانات الشبكة,بحث؛ فتح؛ إجراءات إدارة القيد بحسب العقد الحاكم,RECENT 2602.4: 3 visible tabs filter area toolbar and journal-entry grid; not proof of 2608 UI.,مرجع بصري لإدارة القيود فقط؛ لا يثبت شكل الإصدار الحالي,REFERENCE ONLY — مرجع فقط,ساب 2608 موثق وظيفيًا حاليًا لكن الصورة 2602.4 غير حالية بصريًا.,PASS — ناجح: ربط بصري دلالي دون اختراع شاشة.,تحقق خارجي: ساب توثق تطبيق إدارة القيود الجديد في 2608، بينما الصور المخزنة من 2602.4.,PASS — ناجح: المصدر/الإصدار/البصمة/المطالبة محفوظة في فهرس الأدلة.,PASS WITH GUARDRAILS — ناجح مع ضوابط.,9151ce8895d0f5c606d766d69a61e5ee70fb8384b6fb16b93be5b971bb27aca5,351776
EVD-036,SCR-046,SAP — S/4HANA Cloud Public Edition,sap_s4hana_2602_4_reverse_journal_entry_page47.png,https://help.sap.com/doc/ce01d82756b947a1a043a5d5a3204226/2602.12/en-US/WN_CE2602.4_EN.pdf,لقطة يدوية موثقة من مصدر رسمي,RECENT,HISTORICAL / RECENT NON-CURRENT — تاريخي / حديث غير حالي,FIN-008 | FIN-009,القيد اليومي | إدارة القيود,حوار/شاشة عكس القيد,بيانات القيد الأصلي؛ سبب/بيانات العكس بحسب العقد الحاكم,عكس القيد,RECENT reversal screen/dialog visual; not proof of 2608 UI.,مرجع بصري لعكس القيد فقط,REFERENCE ONLY — مرجع فقط,ساب 2608 موثق وظيفيًا حاليًا لكن الصورة 2602.4 غير حالية بصريًا.,PASS — ناجح: ربط بصري دلالي دون اختراع شاشة.,تحقق خارجي: ساب توثق وظائف العكس في التطبيق الحالي 2608؛ الصورة نفسها 2602.4.,PASS — ناجح: المصدر/الإصدار/البصمة/المطالبة محفوظة في فهرس الأدلة.,PASS WITH GUARDRAILS — ناجح مع ضوابط.,e7ccd4a4563fdd140b90977cbebad29308bce8a433c435654480635b0dee7190,283096
EVD-037,SCR-046,SAP — S/4HANA Cloud Public Edition,sap_s4hana_2602_4_reset_cleared_items_page48.png,https://help.sap.com/doc/ce01d82756b947a1a043a5d5a3204226/2602.12/en-US/WN_CE2602.4_EN.pdf,لقطة يدوية موثقة من مصدر رسمي,RECENT,HISTORICAL / RECENT NON-CURRENT — تاريخي / حديث غير حالي,FIN-008 | FIN-009,القيد اليومي | إدارة القيود,حالة إعادة فتح/إعادة ضبط بنود مسواة,البنود/المراجع ذات الصلة بحسب العقد الحاكم,إعادة ضبط/إعادة فتح وفق الصلاحية والعقد الحاكم,RECENT reset-cleared-item state; not proof of 2608 UI.,مرجع بصري لحالة الاستثناء فقط,REFERENCE ONLY — مرجع فقط,ساب 2608 موثق وظيفيًا حاليًا لكن الصورة 2602.4 غير حالية بصريًا.,PASS — ناجح: ربط بصري دلالي دون اختراع شاشة.,تحقق خارجي: ساب توثق التطبيق الحالي 2608؛ الصورة نفسها 2602.4.,PASS — ناجح: المصدر/الإصدار/البصمة/المطالبة محفوظة في فهرس الأدلة.,PASS WITH GUARDRAILS — ناجح مع ضوابط.,63389449aceb8db5e511202ffdaefa3ff5473c7022e0c2998c7a0e6c60f7d0d2,190065
