Source_ID — معرف المصدر,اسم المصدر,العائلة أو المسار,Authority_Class — فئة السلطة,Governance_Status — الحالة الحوكمية,النطاق,قرار التجميع,الاستخدام التنفيذي,الأولوية,ملاحظات
SRC-016,سجل_جداول_قاعدة_البيانات_V4_1_R2.csv,V4.1R2 Preservation — حفظ V4.1R2,PRESERVED_SOURCE — مصدر محفوظ,REMEDIATION CANDIDATE — مرشح معالجة,255 مفهومًا وجدولًا منطقيًا,INGEST AS LOGICAL CONTENT — إدخال كمحتوى منطقي,CONDITIONAL — مشروط,P5,لا يعامل كـ DDL — تعريف قاعدة بيانات فعلي نهائي
SRC-017,V4_1_R2_REQUIREMENT_DISPOSITION_MATRIX + TRACEABILITY + RECOVERY — مصفوفة تصرف المتطلبات والتتبع والاستعادة,V4.1R2 Preservation — حفظ V4.1R2,PRESERVED_SOURCE — مصدر محفوظ,REMEDIATION CANDIDATE — مرشح معالجة,18609 متطلبًا + 6109 استعادة,INGEST AS TRACE CONTROL — إدخال كتحكم تتبع,CONDITIONAL — مشروط,P1,لا يضيع معرف متطلب أثناء التجميع
SRC-018,TRANSPORTERP_KURRASA_10_VS_8_INDEPENDENT_COMPARATIVE_SPECIFICATION_REVIEW.md,Kurrasa 10 review — مراجعة كراسة 10,EVIDENCE_ONLY — دليل فقط,INDEPENDENT REVIEW — مراجعة مستقلة,مقارنة كراسة 10 مع كراسة 8,RETAIN AS REVIEW EVIDENCE — الاحتفاظ كدليل مراجعة,NO — لا,P0,يثبت أن كراسة 10 ليست بديلًا لكراسة 8
SRC-019,Kurrasa_10-10_Full_Collection_2026-08-11.zip,Kurrasa 10 — كراسة 10,EVIDENCE_ONLY — دليل فقط,DRAFT / REVIEW / RECOVERY — مسودة / مراجعة / استعادة,حوكمة واستعادة وحزم تأسيس,REFERENCE / EXTRACT CONTROL PRACTICES — مرجع واستخراج ضوابط,NO — لا,P0,لا يستخدم وحده للتنفيذ
SRC-020,01_KURRASA_11-10_MASTER_SPECIFICATION.docx,KURRASA 11-10 — كراسة 11-10,PRESERVED_SOURCE — مصدر محفوظ,REVIEWED CANDIDATE — مرشح مراجع,تجميع 57 شاشة ومصفوفات,REFERENCE / SELECTIVE INGEST — مرجع / إدخال انتقائي,CONDITIONAL — مشروط,P1,لا يهزم الحالي المعتمد
SRC-021,K11_10_PRE_PROMOTION_SOURCE_COVERAGE_CLOSURE_REVIEW.md,KURRASA 11-10 review — مراجعة كراسة 11-10,EVIDENCE_ONLY — دليل فقط,SOURCE COVERAGE NOT VERIFIED — تغطية المصدر غير متحققة,مراجعة ما قبل الترقية,RETAIN AS REVIEW EVIDENCE — الاحتفاظ كدليل مراجعة,NO — لا,P0,يمنع الترقية الصامتة
SRC-022,PHASE-05R_INDEPENDENT_REVIEW_REPORT.md,13-10 / Global research — 13-10 / البحث العالمي,BENCHMARK_CANDIDATE — مرشح مقارنة,INDEPENDENT REVIEW — مراجعة مستقلة,تركيب عالمي وبطاقات شاشات,REFERENCE FOR ENRICHMENT — مرجع للإثراء,NO — لا,P6,لا يدخل متطلبًا حاكمًا دون قرار تبنٍ
SRC-023,مصفوفة_مطابقة_14-10_وقرارات_التحديث_V4.csv,14-10 / V4 enrichment — إثراء 14-10 / V4,BENCHMARK_CANDIDATE — مرشح مقارنة,REMEDIATION / DRAFT TARGET — معالجة / هدف مسودة,إثراء عالمي إلى V4,REFERENCE FOR ENRICHMENT — مرجع للإثراء,NO — لا,P6,العناصر الجديدة تظل مرشحة حتى اعتمادها
SRC-024,01_INDEPENDENT_REVIEW_EXECUTIVE_SUMMARY.md,ARCH-01R — معمارية 01R,DERIVED_ARCHITECTURE — معمارية مشتقة,INDEPENDENT ARCH REVIEW — مراجعة معمارية مستقلة,Offline-first / hierarchy / architecture — العمل دون اتصال أولًا / الهرمية / المعمارية,INGEST FINDINGS / NOT BUSINESS AUTHORITY — إدخال الملاحظات / ليست سلطة أعمال,CONDITIONAL — مشروط,P2,لا تعيد كتابة حفظ المصدر
SRC-025,03_FIELD_ARCHITECTURE_OVERLAY_8230.csv,ARCH-01R-REM-001 — معالجة المعمارية,DERIVED_ARCHITECTURE — معمارية مشتقة,REMEDIATION OVERLAY — طبقة معالجة مشتقة,Field→Tab/Area — الحقل إلى التبويب والمنطقة,INGEST WITH DERIVATION TAG — إدخال مع وسم الاشتقاق,CONDITIONAL — مشروط,P2,يحفظ الاشتقاق والثقة وحالة المراجع
SRC-026,04_ACTION_ARCHITECTURE_OVERLAY_6282.csv,ARCH-01R-REM-001 — معالجة المعمارية,DERIVED_ARCHITECTURE — معمارية مشتقة,REMEDIATION OVERLAY — طبقة معالجة مشتقة,Action→Tab/Area/Global — الإجراء إلى التبويب والمنطقة أو العام,INGEST WITH DERIVATION TAG — إدخال مع وسم الاشتقاق,CONDITIONAL — مشروط,P2,يحتاج تحديًا دلاليًا نهائيًا
SRC-027,05_SENSITIVE_OFFLINE_ACTION_W2_BINDING.csv,ARCH-01R-REM-001 — معالجة المعمارية,DERIVED_ARCHITECTURE — معمارية مشتقة,NOT VERIFIED — غير متحقق,Sensitive/Offline W2 binding — ربط W2 للإجراءات الحساسة ودون اتصال,REMEDIATE BEFORE INGEST — معالجة قبل الإدخال,NO — لا,P3,لا يعتمد حتى إغلاق الربط الدقيق
SRC-028,01_INDEPENDENT_RE_REVIEW_REPORT.md - ARCH-01R-REM-001,ARCH-01R independent re-review — إعادة مراجعة معمارية مستقلة,EVIDENCE_ONLY — دليل فقط,NOT VERIFIED - REMEDIATION REQUIRED — غير متحقق / معالجة مطلوبة,ضمان ربط W2,RETAIN AS BLOCKING REVIEW — الاحتفاظ كمراجعة مانعة,NO — لا,P3,مصدر حكم على المعالجة وليس قاعدة أعمال
SRC-029,TransportERP — البحث العالمي والقدرات والأدلة البصرية ومقترحات التطوير/*,Global research library — مكتبة البحث العالمي,BENCHMARK_CANDIDATE — مرشح مقارنة,SUPPORT / INTELLIGENCE — دعم / معلومات بحثية,الشاشات والتبويبات والحقول والإجراءات والأدلة البصرية,REFERENCE / ENRICHMENT — مرجع / إثراء,NO — لا,P6,كل ميزة تحتاج مصدرًا وقرار تبنٍ
SRC-030,POC-14/14R + Project Structure + Pre-Pilot + Package Identity families — إثباتات المفهوم وهيكل المشروع وما قبل الانتقال وهوية الحزم,Execution evidence — أدلة التنفيذ,EVIDENCE_ONLY — دليل فقط,EVIDENCE / REVIEW / REMEDIATION — دليل / مراجعة / معالجة,اختبارات وسجلات وحزم وهوية ملفات,KEEP OUT OF BUSINESS RULE TEXT — إبقاء خارج نص قواعد الأعمال,NO — لا,P7,يربط بالاختبارات والقرارات فقط
SRC-031,Archive / Current Approved Superseded versions — الأرشيف والنسخ الحالية المستبدلة,Kurrasa 8 archive — أرشيف كراسة 8,HISTORICAL_SUPERSEDED — تاريخي / مستبدل,SUPERSEDED / ARCHIVE — مستبدل / أرشيف,إصدارات W1/W2/W3 والفجوات القديمة,AUDIT ONLY — للتدقيق فقط,NO — لا,P0,لا يستخدم للتنفيذ عند وجود نسخة أحدث حاكمة
SRC-032,Name collisions / same name different SHA / quarantined packages — تعارضات الاسم والبصمة والحزم المحجورة,Cross-library document control — ضبط المستندات عبر المكتبة,QUARANTINED_CONFLICT — محجور / متعارض,QUARANTINED / CONFLICT — حجر / تعارض,هوية الحزم والتكرار, HOLD UNTIL RESOLVED — تعليق حتى الحسم,NO — لا,P0,لا تعتبر كل نسخة مكررة قابلة للحذف
